Tweet,Nilai
"#VUILOVERS dan Slankers di manapun kamu berada, ayo bareng-bareng nonton taping program #VAKSINUNTUKINDONESIA! Caranya scan barcode atau klik link https://t.co/oi3jBGtDLN dengan passcode: VUI910.
Jangan lupa nonton terus acaranya setiap Jumat pukul 20.05 WIB hanya di @metro_tv https://t.co/EUYUkdMTPc",
"#VUILOVERS dan para Slankers di manapun kamu berada, ayo bareng-bareng nonton taping program #VAKSINUNTUKINDONESIA malam ini Rabu (5/5) pukul 19.30 WIB! Caranya bisa tinggal scan barcode atau klik link https://t.co/Vq5vpD5G0u dgn passcode: VUI910

#mediagroupxslank @slankdotcom https://t.co/YNMYVc6IGJ",
"#VUILOVERS &amp; para Slankers, ayo bareng-bareng nonton taping program #VAKSINUNTUKINDONESIA!

Caranya tinggal scan barcode atau klik https://t.co/uUkm0vhTb2 dengan passcode: VUI910

Jangan lupa juga untuk nonton terus acaranya setiap hari Jumat pukul 20.05 WIB di @Metro_TV https://t.co/WEffEqjgL2",
"VUILOVERS dan para Slankers di manapun kamu berada, ayo bareng-bareng nonton taping program #VAKSINUNTUKINDONESIA! Caranya tinggal scan barcode atau klik link https://t.co/oi3jBGtDLN dgn passcode: VUI910 
Jangan lupa nonton terus acaranya setiap Jumat pukul 20.05 WIB di @Metro_TV https://t.co/gUoCxonAEY",
"Ini penjelasan Mas Menteri Nadiem Makarim terkait tema #HariPendidikanNasional tahun ini.⁣
⁣
Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB hanya di @Metro_TV 
⁣ https://t.co/wN3cjoUQC5",
"Dugaan Guru Lumpuh Usai Divaksin, Beberkan Hasil Audit https://t.co/bNSWqLUrBQ
#COVID19 @ntfcovid19ph #covid19indonesia #gurulumpuh #sukabumi #vaksincovid19 #VaksinUntukIndonesia #vaksinnasional",
"Kita nyanyi bareng pakai lagu ""Tong Kosong"". Apapun yang kamu ucapkan, yaa harus dipertanggung jawabkan! Jangan cuma ngomong doang, VUI Lovers!

Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB. #mediagroupxslank @slankdotcom https://t.co/TdJKrsVZVR",
"Seberapa penting pendidikan menurut Abah Budiman? Simak ceritanya dalama #VaksinUntukIndonesia hari Jumat pukul 20.05 WIB hanya di @Metro_TV
⁣⁣⁣ #slankstory #slankgakadamatinya #slankindonesia @medcom_id @fishgod @abdeenegara @greenslank @ridho_hafiedz @bimbimslank https://t.co/bWQndLLJX2",
"Ngabuburit bareng Slank yuk! Kita nyanyi bareng pakai lagu ""Seperti Para Koruptor"". Jangan jadi koruptor yaa, VUI Lovers!

Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB.
#mediagroupxslank @slankdotcom https://t.co/es3GaV2wyf",
"Seberapa penting pendidikan menurut Abah Budiman? Simak ceritanya berikut ini.⁣
⁣⁣⁣
Tonton terus #VaksinUntukIndonesia bersama @slankdotcom
 setiap hari Jumat pukul 20.05 WIB hanya di @metro_tv

#MediaGroupxSlank #MerdekaBelajar https://t.co/Hlum46k6Lk",
"Soalihin, guru di SMPN 1 Laboya Barat bertanya soal gebrakan kurikulum pendidikan moral kepada Mas Menteri @nadiemmakarim. Ini jawabannya!⁣
⁣⁣
Tonton terus #VaksinUntukIndonesia bersama @slankdotcom
 setiap hari Jumat pukul 20.05 WIB hanya di @metro_tv
⁣
#MediaGroupxSlank https://t.co/diGn7V1lE4",
"Ini penjelasan Mas Menteri @nadiemmakarim terkait tema #HariPendidikanNasional tahun ini.⁣
⁣
Tonton terus #VaksinUntukIndonesia bersama @slankdotcom setiap hari Jumat pukul 20.05 WIB hanya di @metro_tv.⁣
⁣
#MediaGroupxSlank #MerdekaBelajar https://t.co/p98ceOkKLs",
"Seberapa penting pendidikan menurut Abah Budiman? Simak ceritanya berikut ini.⁣
⁣⁣⁣
Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB hanya di #MetroTV. #MediaGroupXSlank @slankdotcoom https://t.co/K1iD2op0Pu",
"Soalihin, guru di SMPN 1 Laboya Barat bertanya soal gebrakan kurikulum pendidikan moral kepada Mas Menteri Nadiem Makarim. Ini jawabannya!⁣
⁣⁣
Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB hanya di @Metro_TV https://t.co/jiClnzLYrg",
"Apakah boleh memetik keuntungan uang dari pengadaan test Antigen, Swab, dan vaksin Covid-19? Jika boleh: sampai di mana ambang kewajarannya? Siapa penentu batas kewajaran itu?

#Covid_19 #VaksinasiNasional #VaksinUntukIndonesia",
"Siapa yang paling diuntungkan dari pengadaan vaksin Covid-19??? 

#vaksincovid19 #VaksinasiNasional #VaksinUntukIndonesia",Tidak Percaya
"Soalihin, guru di SMPN 1 Laboya Barat bertanya soal gebrakan kurikulum pendidikan moral kepada Mas Menteri Nadiem Makarim. Ini jawabannya!⁣
⁣⁣
Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB hanya di #MetroTV. #MediaGroupXSlank @slankdotcom https://t.co/7dPmYTxD0Z",
"Ini penjelasan Mas Menteri Nadiem Makarim terkait tema #HariPendidikanNasional tahun ini.⁣
⁣
Tonton terus #VaksinUntukIndonesia setiap hari Jumat pukul 20.05 WIB hanya di #MetroTV. #MediaGroupXSlank @slankdotcom https://t.co/SBsOFo3SmY",
