Tweet,Nilai
#VaksinasiNasional merupakan upaya bersama untuk menekan penyebaran virus corona. https://t.co/aqp6Hx9bVP,
"Alhamdulillah diorang dah settle 1st dose💓 

#VaksinasiNasional #VaksinasiCovid19 https://t.co/uZrRkC5VAS",Percaya
"Alhamdulillah Sudah menerima Vaksin tahap I
#VaksinasiCovid19 
#VaksinasiNasional https://t.co/DXnysMCjJ3",Percaya
"Tahun 2022 Indonesia akan melakukan vaksinasi untuk 14 antigen secara nasional

#VaksinasiNasional https://t.co/NbKG0hEle1",
Vaksin menyelamatkan keluarga anda #VaksinasiNasional https://t.co/2H1W8pgwN5,Percaya
Ayo Vaksin #VaksinasiNasional https://t.co/3ncDL4RIQg,Percaya
Dukung Program Vaksinasi #VaksinasiNasional https://t.co/vH6xTZ8Fvi,Percaya
"Ayo Kita Vaksin 
#VaksinasiNasional https://t.co/pNKWjhYd94",Percaya
"Ini Dia, 10 Pekerjaan Paling Tidak Terkena Dampak Covid 19
https://t.co/BdKX3RfLa0
#ForumKaskus via @KASKUS
Eh...tahu ga sih, ada juga #pekerjaan yang tidak terkena dampak #Covid_19  ini. Pekerjaan apa saja ya?? 
#indonesiadermawan #VaksinasiNasional #sehat #sembuh",
"1.389 Juta Dosis Vaksin Tiba di Indonesia, Vaksin AstraZeneca Siap Dipakai  https://t.co/ozUzEf95y4 

#VaksinasiNasional #AstraZeneca #astrazenecavaccine",
"Ayo Kita Putus Mata Rantai Penyebaran COVID-19 
#VaksinasiNasional https://t.co/NW0lwqGWF8",Percaya
"Prioritas Vaksin Gotong Royong Akan Ditentukan Berdasarkan Zonasi. 
#VaksinasiNasional https://t.co/OsIcHd14sW",Percaya
"Tetapkan Protokol COVID-19 dimanapun anda berada. 
#VaksinasiNasional https://t.co/jdyiSJGedN",
"Vaksin Sinopharm Telah Disetujui Di  27 Negara dan Didistribusikan Di Indonesia Dengan Nama Sars-Cov-2 Vaccine (Vero Cell), Inactivated
#VaksinasiNasional https://t.co/ZMIDSX3RZu",Percaya
"BPOM Menertibkan Persetujuan Vaksin Sinopharm Untuk Kemasan 1 Vial Berisi 0,5 ML Vaksin. 
#VaksinasiNasional https://t.co/9xycXwBszl",Percaya
Vaksin Covid 19 diperbolehkan saat Puasa #VaksinasiNasional https://t.co/M8ZQWGj6N1,Percaya
"Ayo Kita Vaksin 

#VaksinasiNasional https://t.co/Q4ZlMMKPU2",Percaya
"Ayo Vaksin 
Dukung Program vaksinasi Nasional

#VaksinasiNasional https://t.co/0whVwqcJtd",Percaya
"Indonesia berhasil mengamankan puluhan juta dosis vaksin covid-19 sejak Desember 2020 hingga Sabtu, 8 Mei 2021.
#vaksin #VaksinasiNasional #dosisvaksin #COVIDー19 #CovidVaccine #vaccination #lampostco
https://t.co/v5lrJ5HHKZ",Percaya
"1,3 Juta Dosis Vaksin Jadi Astrazeneca Tiba di Indonesia - https://t.co/zrfJBkyL1s 
@KemenkesRI

#AstraZeneca 
#COVID19 
#Kemenkes
#MenluRI
#VaksinasiNasional",Percaya
"Kamar Dagang dan Industri Indonesia (Kadin) Provinsi Lampung masih menunggu giliran untuk menjalankan program vaksinasi gotong royong.
#kadin #Vaksin #VaksinasiCovid19 #VaksinasiNasional #lampostco
https://t.co/1nK1R5lRaB",
"Disiplin prokes, 3T dan vaksinasi massal memerlukan dukungan seluruh komponen bangsa

#VaksinasiNasional https://t.co/bUPFEbDUl5",
"Cegah Penyebaran Varian Baru Dan Anjloknya Efektivitas Vaksin, Mobilitas Kudu Diperketat

#Vaksin #VaksinasiNasional #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid 

https://t.co/eSeLrlh7ns",
"Biarkan lambat, asalkan selamat. #VaksinasiNasional #vaksincovid #PfizerBioNTech #aztrazeneca #Sinovac etc @Khairykj @DrAdhamBaba @JKJAVMY https://t.co/AQ8iKE7TxN",
"Vaksin tda ada efek samping
#VaksinasiNasional #vaksinuntukkita https://t.co/kHZZzvmpdb",Percaya
"Sukseskan vaksinasi nasional 
#Vaksin #VaksinasiNasional https://t.co/R6BzdDj7EK",Percaya
"Setelah kami berdua vaksin Corona yang pertama, bagian pinggang sebelah kiri rasanya sakit. Semoga semuanya baik-baik saja #VaksinasiNasional #vaksincovid19 #VaksinUntukSemua #vaksinuntukkita",Percaya
"Koordinator Komunikasi Publik KPCPEN Arya Sinulingga mengatakan, program vaksinasi gotong royong bakal dilakukan pada tanggal 17 Mei 2021. #vaksingotongroyong #VaksinasiNasional #covid19

https://t.co/nrhSKN6Pak",
"Update perkembangan vaksinasi COVID-19 di Indonesia, per tanggal 6 Mei 2021 pukul 18.00 WIB.

#VaksinasiNasional https://t.co/OnckfJ3QU9",
"ayo vaksin!

#VaksinasiNasional #VaksinUntukSemua https://t.co/ySWaMwLQUX",Percaya
"Pemerintah memastikan Vaksinasi Gotong Royong digelar pada 17 Mei 2021...  #VaksinasiNasional 💉 #DisiplinProkes 😷 #PatuhTidakMudik 
Liburan Jangan Berkerumun
 https://t.co/fTw970esRC",
