Tweet,Nilai
"Vaksin yang digunakan adalah Sinopharm dan CanSino, keduanya berasal dari China. Vaksin Sinopharm akan disuntik sebanyak 2 dosis, dan vaksin CanSino hanya 1 dosis saja.",
"@xxDonJxx Sputnik, pfizer, AZ, cansino. Ni semua vaksin yg JKJAV dah order. https://t.co/whEx0iTdpc",
Lambat vaksin CanSino dengan Sputnik V ini sampai.,Tidak Percaya
Direktur Utama Bio Farma Honesti Basyir mengatakan pihaknya akan membeli 50 juta dosis vaksin CanSino untuk memenuhi kebutuhan program vaksinasi Gotong Royong. Rencananya vaksin CanSino akan mulai didatangkan bulan Juli 2021. https://t.co/oj2pn4gVvQ,
"Vaksin lain yang guna kaedah yang sama adalah vaksin J&amp;J, CanSino dan Sputnik V.

Secara ringkasnya, vaksin jenis vector virus ni dihasilkan dengan mengekstrak DNA adenovirus, kemudian 2 pengubahsuaian DNA adenovirus ni dilakukan:",
"Target pemerintah vaksinasi mandiri untuk swasta atau vaksinasi Gotong Royong sudah mulai dilakukan pada Selasa (18/5). Dalam program ini ada dua jenis vaksin Gotong Royong yang telah tersedia di Indonesia, yakni Sinopharm dan Cansino. #video

 https://t.co/Z88ZqRSKCP",
"nambah lagi nih jenis vaksin yg akan dipakai di Indonesia, sama dengan Sinopharm, CanSino juga untuk program vaksin gotong royong.

dan saya tetep belum kebagian 😭 https://t.co/0Qs0MTYkEI",
"Vaksin CanSino akan dijadika  vaksin gotong royong, selain Sinopharm yg juga berasal dari China. 

Vaksin akan dikirim pada bulan Juli-September 2021 sebanyak 3 juta dosis. 

Vaksin gotong royong mrpkn vaksinasi yg dilakukan oleh perusahaan untuk karyawannya. https://t.co/ZXwwLGEO4o",
@cpsjusuf Ya nunggu merk lain aja. Ada lg sih yg setipe pake adenovirus jg cansino. Jalur vaksin gotong ryg. Efeknya sptnya bakal mirip2 AZ.,
"@uberfunk @CrowDits Iya Pfizer ama Novavax buat umum.
Buat Gotroy: Sinopharm, Sputnik, Cansino. 

Insya Allah.",
"@x_tino Oh kalo soal pengawalan AZ, gak tau jg sih.. Soalnya asa di sini awal2 aja ada beritanya.. Atau maksimal sampai kedatangan kedua kali ada beritanya.. Sinovac,AZ, Sinopharm,CanSino jg begitu.. Awal2 kedatangan ada beritanya. Batch selanjutnya ga tau gmn..",
"@cerviydae Iya itu di pt gua mah yg disediain perusahaan pake yg sinopharm sama cansino, kalo bukan dari perusahaan mah pake sinovac sama astrazeneca, tapi gak tau juga tiap perusahaan kayaknya beda2 pake vaksin apa.",
@cerviydae Lu vaksin yg gotong royong itu bukan yg pake sinopharm sama cansino?,
"vaksin, vaksin apa yang lucu?

Cansino.
Dono, Cansino, Indro.

*472 people unfollowed you",
"Ada berita baik nih, Indonesians! Total 50 juta vaksin CanSino akan dipesan dari China. Tujuannya untuk menambah ketersediaan vaksin untuk program vaksinasi Gotong Royong. Nah, jadi buat perusahaan yang ikut vaksinasi gotong royong, bisa aja dapetnya Sinopharm atau CanSino. https://t.co/DWf2ZA7Lu6",
"BPOM sebelum vaksin tersebut dikirim ke Indonesia.

Berita selengkapnya: https://t.co/73lKM5plce

#cansino #vaksin #covid19 #gotongroyong",
"For your information aja nih, Indonesians! Vaksin CanSino dari China bakal dipakai buat vaksinasi gotong royong juga, lho. Nah, kalau soal izin penggunaan vaksin CanSino, Direktur Utama PT Bio Farma (Persero) Honesti Basyir menargetkan izin penggunaan darurat akan dikeluarkan https://t.co/bkt98wFKgo",
