Tweet,Nilai
"@erna_st Cuma buat test aja.
Hanya jadi bahan percobaan fucksin",Tidak Percaya
@christian239_ Biadnayat fucksin ornag..sekarnag kebalik,
Selamat pagi ... weekend tetep kerja😌 disaat badan Masih Hangat setelah Fucksin💉🦠 https://t.co/anDnPLnXLF,Tidak Percaya
@erna_st Bukan karena fucksin.,Tidak Percaya
Efek Fucksin sudah mulai mereda,Tidak Percaya
@hiyeweon ktax sudah ada fucksin nya mamih sdah di jual di masyarakat👍🏻👍🏻,
To @mr_fucksin Ga beda jauh kan ama lu nge reply cewe pen lu bucinin xixixi kesel ga? Maennya blokiran kek bocah,
@mr_fucksin hungrypedia yg enak apaa ban?,
@mr_fucksin Bagus kak teruskan hal hal positif kaya gini,
"@rafsa_08 Udh ketok palu sakit bawaan,fucksin gk pernah salah titik 😪😪",
@SPlandemic Di uci coba dulu ma teman qu yg udh d fucksin😂😂,
@hipohan Namanya juga Media Kacung dan 70% Media kepunyaan Cukong mas brooww. Mana ada Pribumi punya Media. Klopun ada udah di Cekokin fucksin babi dan diancam tutup jadi pada Buta mata nya 🤣🤣🤣😅😅,
Surat tanda fucksin sama tanda tes jadi syarat wajib perjalanan atau beraktivitas. Anjinggg banget dah. Dari awal juga sudah ketebak arahnya pasti kesitu 😒😒,Tidak Percaya
"@mr_fucksin nahkan... malah jd nanya nanya gt teruuuus wkwkw. meskipun uda lama bareng jg tetep bakal nanya kek yg ""are sure gonna stay wimme?"" gt wkwkw",
@mr_fucksin Diri sendiri,
@mr_fucksin @TwitterID apakah twt bisa baca kalo akunnya bani kunci?,
@niattobat Iyanih biar sehat harus fucksin,Tidak Percaya
"@HitsIndonesia_ @rudeski83 @Jihan294 @FollScarlet @NesyaZhafira @anakpapua_ @FriskaDavina @Yuyunmaria3 @IkonPapua @n_akb31 Lu itu sebenarnya tau ga sih bahan untuk buat FUCKSIN??

Punya hp kan? Cari info lah, bahan kandungan fucksin. Lihat bahaya buat tubuh.

Udah jelas jelas ada kandungan ALUMUNIUM &amp; MERKURI nya

Lu itu yang sok tau
Buzzer bayaran. Cuma Koar"" NYEMBAH NYEMBAH FUCKSIN !!",Tidak Percaya
"@RestyCayaaah Bener inih gue se7, yg penting kita tetep jaga hidup sehat dan banyak berdoa pada yg maha kuasa🙏, gak usah takut gak dpt fucksin,gue jg gak minat sih🤭",Tidak Percaya
@SPlandemic paket tersedia yg mau fucksin https://t.co/nnFntbGcP2,Tidak Percaya
@SPlandemic bahkan fucksin bisa menghasilkan duit lebih banyak dari penjual motor😂,Tidak Percaya
@arifbsantoso @erickthohir @KemenBUMN @BudiGSadikin @KemenkesRI @PBIDI Pengen jalan-jalan sambil fucksin? Sudah ada paket hemat nya zheyenk https://t.co/zLJHiVge0g,Tidak Percaya
ini mrip dgn kondisi sy....jujur sy g mau di fucksin..... https://t.co/P0QZ36IBBx,Tidak Percaya
"Guru meninggal setelah difucksin.
Ini nyawa ndro...
Fucksin habis bisa dibeli, lah nyawa mo beli dimana ???.
Siapa yang tanggung jawabnya ???.",Tidak Percaya
@mr_fucksin Aww jadi malu🙈,
@mr_fucksin dah ak bub,
Keringet dingin karena efek fucksin,Tidak Percaya
"@Catatan_ali7 Iya td sore aku dicc""in Uni Zara 😑 gila kan Fucksin malah jd kek ""pembunuh"" ?!",
"Yang mewajibkan registrasi itu yg seharusnya bertanggung jwb penuh

Layaknya yg mewajibkan fucksin,harus bertanggung jwb penuh apabila ada lehilangan nyawa&amp;dampak lain dari fucksin tsb https://t.co/bOWRp5JMOC",Tidak Percaya
@mr_fucksin @TwitterID Tolong ya jek @jack terus lu jadi orang tolong jangan sensitif banget dikit-dikit saspen akun orang😠😠,
@mr_fucksin sudah banii,
@killrvr @mr_fucksin KAN AKU NGEJELASIN,
@aftersexxxxxx @mr_fucksin ga tuh,
@OfficialiNewsTV Innalillahi... Mengerikan fucksin..😅,Tidak Percaya
"@mr_fucksin @killrvr ""Iri ngga sih ?""

Gitu mksdnya kak",
@mr_fucksin Kok bisa,
@mr_fucksin bucinin aku pls,
@mr_fucksin @killrvr Iri ga sih?,
@Wedhus999 @Minang_cyber @CahAngonLagi @t8eez_ @nullbyt8_ @HmEi7_Real @New_Reborn989 @Legi0n_B4ttl307 @bemasterpiece @CasperBeWin1 @UUs_4nC35am___ Para dedengkot global illuminati yg punya bisnis fucksin untuk agenda 500 jt jiwa penduduk bumi . https://t.co/uGpYLB9mSm,Tidak Percaya
@__K3raSakti__ 😳😳 mesti siap2 betina gw nih klo di fucksin,Tidak Percaya
"@HendraBunawi5 @lesifela @geloraco Mgkn si zionis tau produk nya si komunis bermasalah,wong rakyat jg byk yg gk maubdi fucksin kok,cm di haruskan aja",Tidak Percaya
@alaiumg4mbreng siap melakukan fucksin from home😶,Tidak Percaya
@mr_fucksin Ngakakk bgstt,
FUCKsin membuatku tepar😓,Tidak Percaya
@mr_fucksin ngiler dong 😭😭😭,
@mr_fucksin efek vaksin jd ngantuk?,
@mr_fucksin Ak ketawain maaf 😭,
"@mr_fucksin ya ampooooon abang🙈

pasti kamu bobo nya miring",
"@kompascom Sama kayak fucksin Astrazeneca dari jutaan yg meninggal 3 di Indonesia, sama pula kaya mudik ga semua sakit banyak yg sehat2 , jadi ga usah lebay Lo media",Tidak Percaya
@mr_fucksin yaampun ikutan malu 😭,
@sheelmiiee Kan sesuai namanya FUCKSIN,Tidak Percaya
"Udah dikejar fucksin, terus diceramahin pepesan kosong🤭 https://t.co/D6BY4iw9yi",
@IbuNe_neng Fucksin ye. Kena hap dulu neng 🤢,
"Kalo dah di fucksin gini ada nyamuk gigit aku, dia ngisep darah apa ngisep fucksin?",Tidak Percaya
fucksin ke dua kira-kira efek nya apa ya,Tidak Percaya
@MassaSoekardi Ada temen bilang gini klo emang fucksin racun rokok aja kalian isap trus aq jawab Ada gk rokok yg baru isap sebungkus langsung lumpuh?kicep dia 🤣🤣,Tidak Percaya
"Berani ngancem2.. ckck
Tp pas kejadian warganya ada yg Meninggal sehabis Fucksin ga da yg mau TanggungJawab 😠😠 sialan tu pejabat2 negara. https://t.co/mpS7eH7h3D",Tidak Percaya
"@SPlandemic Iya,,mau aja di Fucksin😂😂😂",Tidak Percaya
@SPlandemic Herannya..banyak jug yg mau d fucksin eaa😂😂😂...,Tidak Percaya
...langsung pemasok fucksin kasak-kusuk cari2 bahan buat 'membungkam' ini orang...🤭🤭 https://t.co/VvwqGfkbIP,Tidak Percaya
@iniowlkan Org lain udh vaksin 2 kali. Aku masih fucksin,
Ini kapan deh dpt jatah fucksin biar ga ovethinking 💀💀,
"Efek Fucksin seng tak rasakno pertumbuhan Hernandez semakin megilan, kudu ucul ae rasane",
@SPlandemic dia ingin cari cara bagaimana memasukkan nanochip kedalam fucksin.,Tidak Percaya
@Trikus2012 @asik_mulu @fancyaskingmet1 @saveindonesia20 @darakasiwi @BangPitung_AJW @Wedhus999 @manuskele Trus fucksin untuk apa klo banyak yg sembuh?,Tidak Percaya
"@Trikus2012 @asik_mulu @fancyaskingmet1 @saveindonesia20 @darakasiwi @BangPitung_AJW @Wedhus999 @manuskele Klo lo bilang demi kepentingan rakyat pikirin juga mrk yg lumpuh,buta,bahkan meninggal stlh di fucksin meskipun sampe botak fucksin dianggap gk pernah salah",Tidak Percaya
@Trikus2012 @asik_mulu @fancyaskingmet1 @saveindonesia20 @darakasiwi @BangPitung_AJW @Wedhus999 @manuskele Ngikut ndoro Bill gates yah?ngurang2in Penduduk bumi lewat fucksin? https://t.co/lppHWW9ZIs,Tidak Percaya
"orang2 abis fucksin pada pegel2 ama panas dingin, abis itu izin kerja.

kalo gue abis fucksin, kerasnya hidup gue bakal ngalahin pegel2 dan panas dingin krn efek fucksin gak ya? karena harus terus bekerja usaha agar tidak izin",Tidak Percaya
"Wajar, lha rakyatnya mmg mau di-genosida-kan via: Covid-19 dg segala perangkat pembunuhnya (lockdown, fucksin, PCR Test, dsj.).

Indonesia Masuk Dalam Daftar Negara Yang Tolak Resolusi PBB Untuk Pencegahan Genosida https://t.co/Qgz8Zm9YQt",Tidak Percaya
4hari be care layangan pegat ulian fucksin ne sat!,
@arifbsantoso Jangankan korban TBC atau DBD yg selama ini kalo mati ya dianggap mati aja. Yang mati gara2 fucksin 1% pun dianggap cuma 1 persen oleh kaum pemuja kopit macam @erysaputra_,Tidak Percaya
"Niat fucksin hari ini..
Gara2 kondisi kurang fit.. batal jadinya 🙄",
Mari fucksin kok tambah nggereges Kabeh sak awak yaallah panjenengan Paringi sehat 🙏,
@detikcom virus koruptor noh sana kasih fucksin kpk,Tidak Percaya
Ajg abis fucksin malah ngantuk bgt dah ajg zzzz,
"Kita sekeluarga ga da penyakit bawaan, sebelum vaksin jg cek kesehatan dulu 😣 Om ku segar bugar cak Ali umur 60an masih gagah, encok2 ga da deh nyetir jauh masih kuat. Lah sehabis fucksin? 😭 https://t.co/QDcH0GxMyA",Tidak Percaya
@eqo_dok Loh kok malah baru di fucksin,
"@SPlandemic Untungnya aku blum mau d Fucksin ampe skg,,",Tidak Percaya
@SPlandemic Untung q g mau di fucksin,Tidak Percaya
