Tweet,Nilai
"Yg mempermasalahkan vaksin nusantara kemungkinan,
1,grup mafia vaksin,
2,penghianat bangsa yg berkolaborasi dgn industri vaksin luar negri,
3, org goblok yg keminter ikut2an menolak vaksin dalam negri https://t.co/kwh1SCUmtd",Tidak Percaya
"@anang8989 @soepeno321 @SahabatSaber Jadi menteri gak bisa MELOLOSKAN program kartu jaminan kesehatan krn baru digertak orang DPR langsung mingkem.
Kalah dengan mafia dikementerian yang dipimpin dan gak berani bongkar, padahal pangkatnya jenderal.
Vaksin Nusantara mau dipakai tp gak ada hasil uji coba.
Pinter gak?",Tidak Percaya
"Tambahan jejaring korupsi ORBA 2:
- MAFIA ALUTSISTA
- MAFIA PENGADAAN PAKSA VAKSIN MAUT
- MAFIA PELEMAH PERLINDUNGAN DATA PRIBADI (JOHNNY G. PLATE) https://t.co/aGA7qGskP3",Tidak Percaya
"@kurawa Sy mau jd relawan, gmn caranya. Lawan vaksin ini mafia alkes nasional dna internasional, daud vs goliath, but dukungan kt smua",
Vaksin terus begulir masyarakat masih ada yang ragu apalagi dengan jenis  baru dan ada korban meninggal dunia. Lalu apa yang dilakukan pemerintah untuk kembali di percaya!! ? Mengingat sudah mulai seliweran mafia vaksin.. segera bertindak. #viralberita #viralindonesia https://t.co/FyD5sfk6bc,Tidak Percaya
@kombesnapoleon Jangan mempertebal tulisan Vaksin kalau di halaman sebelumnya ternyata dia punya penyakit bawaan. Persentase sukses Vaksinasi lebih besar dibanding Seorang yang bahkan kamu tidak tahu riwayat penyakitnya. Tolak Vaksin = Mafia Kesehatan. Fix!,
"@fancyaskingmet1 @SPlandemic Lihat stok vaksin dibandingkan target injek yg jomplang, mafia Indonesia untung mafia Hongkong gak jadi buntung.
Mafia kesehatan antar negara pasti punya koneksi 🤣🤣🤣",Tidak Percaya
@SPlandemic @fancyaskingmet1 Sesama mafia bersaudara. Mafia Indonesia siap tampung lsg dipakai dgn bantuan congornya juru wabah yg tereak tereak vaksin utk lansia harus diutamakan.,
"malas lah tweet serious2 pasal politik, pasal vaksin, baik kita tweet mafia je!😡! Gaja!",
"Ternyata benar ada Mafia Obat2an Covid 19

https://t.co/6uoGO6KAJB",Tidak Percaya
"Tahap 1 rencana mereka (terkait penghancuran dunia kesehatan Indonesia dan tumbalkan nyawa rakyat demi uang):

- fitnah BPOM sebagai mafia vaksin

Ini adalah modus Accuser (Pemfitnah) dari Samael.",Tidak Percaya
"Ya...mereka itulah mafianya, namun mereka fitnah BPOM sebagai mafia vaksin!

Mereka fitnah BPOM halangi vaksinasi dan halangi vaksin 'nusantara', padahal Terawan dll itulah mafianya!",Tidak Percaya
