Tweet,Nilai
Seluk Beluk Bahaya Pembekuan Darah Efek Vaksin AstraZeneca https://t.co/THAieAqQza,Tidak Percaya
Satgas Tegaskan Pembekuan Darah Tidak Berkaitan Dengan Vaksin COVID-19 https://t.co/go13ettAmx,
"Soal Kematian Akibat Pembekuan Darah, Satgas: Tak Berkaitan dengan Vaksin COVID-19 https://t.co/0SRI3BUBNL",
"Risiko kena CVT atau pembekuan darah adalah 100 kali ganda lebih tinggi di kalangan orang yang dijangkiti covid berbanding yang tiada covid

Cara untuk cegah kena covid adalah : vaksin dan pematuhan norma baru

COVID-CVT-paper.pdf https://t.co/BNVE148kh7 via @OSFramework",
Peneliti Jerman menemukan kasus pembekuan darah setelah menerima vaksin #AstraZeneca  https://t.co/gexcWGS20N,Tidak Percaya
Satgas: Kasus Pembekuan Darah Tak Terkait Vaksin AstraZeneca https://t.co/HpY1iUEiZv,
"Satgas: Pembekuan Darah Tak Berkaitan dengan Vaksin Covid-19 

https://t.co/gfSdx4gAwp",
"Gua cuma bertanya bila mrk mati semua sementara belum ada kepastian dr otopsi jenazah TRIO. 
siapa yg akan bertanggung jawab,  apakah bertanya itu salah.?
Apa penyebabnya bila benar pembekuan darah knp bs terjadi pd org yg tadinya sehat dan segar bugar. https://t.co/EoswhhKYu7",Tidak Percaya
"Penggunaan vaksin astrazenecca msh jalan terus tuh, sdhkah ada SOP yg dijalankan dg kematian TRIO ? apakah ada hubungannya dg penyuntikan vaksin.? jng mudah omong hoax yg mati mungkin jg ada dinegara lain, ttg thrombocyte kita dpt berita itu dr negara lain. 
Pembekuan darah. https://t.co/O8INUmkrhf",
"Dokter Tirta menyatakan hal ini atas kematian TRIO apakah itu hoax ?
TRIO mati setelah mendpt vaksin Astrazenecca krn terjadinya pembekuan darah, dan AstraZenecca ttp dipakai krn vaksin covid adalah keharusan. https://t.co/O8INUmkrhf",
Ahli Ini Ungkap Penyebab Pembekuan Darah Vaksin AstraZeneca https://t.co/VEcmhTydl7,Tidak Percaya
Vaksin Covid-19: Saintis Jerman percaya masalah pembekuan darah boleh diatasi https://t.co/Ucs2cFV7O4,
"Juru Bicara Satgas Penanganan C-19 Prof Wiku Adisasmito menjelaskan bahwa pemerintah telah memastikan faktor keamanan, mutu, kualitas &amp; khasiat pada vaksin yang digunakan. Biar masyarakat tenang &amp; Jangan lupa bersyukur di saat negara2 lain rebutan vaksin!!
https://t.co/NS6rtyEows https://t.co/4kMo45HOwk",
"EMA selidiki kematian seorang perempuan yang mengalami pembekuan darah dan penurunan trombosit usai divaksin #COVID19 Johnson &amp; Johnson.
https://t.co/PJdTepH7Q4",Tidak Percaya
"Heboh sama pembekuan darah, pendukung rezim  hatinya beku aja gk dipermasalahin tuh, ada apa sama negeri ini?
@mcaops
@BossTemlen
@eT3k3WeR
https://t.co/z41eF3JC06",
"@JjHerlambang @mosidik Di bilang lucu iya, kan gegara sinovac dari Cina itu? Eh barang nya yg AZ dibeberapa negara udh ditarik lagi gegara pembekuan darah itu

Tapi AZ katanya bisa ngelawan corona yg jenis india",
"BADAN Pengawas Obat Eropa (EMA) sedang menyelidiki kematian seorang perempuan di Belgia yang mengalami pembekuan darah dan penurunan trombosit setelah menerima vaksin Covid-19 Johnson &amp; Johnson.

  https://t.co/Ri9JU1Hfwn",
"Jujurlah ketika ditanya seputar riwayat penyakit sebelum divaksin COVID-19. Karena ini bisa menentukan aman-tidaknya vaksinasi, serta menekan risiko efek samping berat atau kejadian ikutan pasca imunisasi (KIPI) serius, termasuk pembekuan darah.

Hmmmmmm........",
"@akunnyaaya @collegemenfess efek sampingnya lebih kuat katanya,
yg sempat ramai sampai meninggal setelah divaksin astra karena pembekuan darah, meskipun rare case tp ada peluang hal ini jg disorot diberbagai negara dgn kasus yg sama
https://t.co/Gnw1rsOEWW

https://t.co/Qvt2vtqzLc

https://t.co/k7ANXSQNmM https://t.co/TjxCJvw2Y2",Tidak Percaya
Kasus strok dan pembekuan darah akibat vaksinasi sangat jarang terjadi. https://t.co/84kHBAGkAp,
"Bukan gitu min, semua orang tau merokok memang berisiko kena sakit berat termasuk pembekuan darah cuman para perokok bandel. Sedangkan orang vaksin harapannya sehat dan selamat tapi ternyata tetap ada risikonya jadi ya bikin orang2 pada males. https://t.co/9YdSJikFy1",
"Rangkaian #TiensCalciumSeries bantu jaga tulang dan gigi, kerja sistem syaraf, pembekuan darah &amp; kontraksi otot. 

#NutrientCalcium (diatas 12 tahun)
#CalciumforChildren (dibawah 12 tahun)
#ShutangCalcium (penderita diabetes)

Pesan sekarang di https://t.co/0V8hh3ymyp

#tiens https://t.co/VF59OFyyQn",
Satgas Covid-19 Tegaskan Kasus Pembekuan Darah Tak Terkait Vaksin AstraZeneca https://t.co/ezp9hBlIPd https://t.co/Cg8pyxDOjp,
"Wiku Adisasmito mengatakn, penyakit pembekuan darah yg disebut dgn tromboemboli vena, menjadi penyakit kardiovaskular nomor 3 paling sering terjadi di dunia. Oleh itu, sangat mungkin kondisi tersebut terjadi secara bersamaan ketika penderita menerima vaksinasi.#StayFitForLife https://t.co/oAHo5dpaVA",
"@knmapplepii @schfess Jadi aku salah satu cwek yg bisa dibilang pubertasnya tuh terlambat. Kalo cwek normal mulai pms umur 9-12 tahun, kalo aku wktu itu umur 16thn baru dapet. Trs sempat berhenti skitar 8bln, kata dokter aku kena pembekuan darah mens krn pola hidup yg gk sehat.",
Satgas: Kasus Pembekuan Darah Tak Terkait Vaksin AstraZeneca https://t.co/d59DTFmQj4,
Wiku: Pembekuan Darah Penyakit yang Tak Terkait Vaksin Covid-19 https://t.co/br4XW9hwGW,
"Juru bicara Satuan Tugas (Satgas) Penanganan Covid-19, Wiku Adisasmito mengatakan kasus pembekuan darah atau tromboemboli tidak berkaitan dengan vaksin covid-19.
#COVID19 #pandemi #vaksin #nasional #lampostco
https://t.co/Pb7z9sYKoh",
"Satgas Tegaskan Kasus Pembekuan Darah Tidak Berkaitan dengan Vaksin Covid-19

https://t.co/24GUr3Jooi",
Satgas Tegaskan Kasus Pembekuan Darah Tidak Berkaitan dengan Vaksin Covid-19 https://t.co/QPbbdUir2E https://t.co/AVgTpkVkOl,
"Pembekuan Darah Dialami Sejumlah Penerima Vaksin AstraZeneca, Ini Penjelasan Satgas

Via: https://t.co/5B5JQnVzu0. 

#NOTD",Tidak Percaya
"Satgas: Pembekuan Darah Tidak Berkaitan Vaksin Covid-19
https://t.co/uJmM6eHxtB",
"Pembekuan Darah Dialami Sejumlah Penerima Vaksin AstraZeneca, Ini Penjelasan Satgas https://t.co/vSXhws4IGH",
"Juru bicara Satgas Penanganan Covid-19, Wiku Adisasmito mengatakan kasus pembekuan darah atau tromboemboli tidak berkaitan dengan vaksin covid-19

#satgas #satgascovid #coronavirus #vaksin #lampostco
https://t.co/Pb7z9sYKoh",
Satgas Penanganan Covid-19 meyakini vaksin yang hadir di Indonesia aman untuk digunakan. Satgas menilai kasus trombo emboli atau pembekuan darah tidak berkaitan dengan vaksin. #Covid-19 https://t.co/7TOioYBLZ1,
@jelymonalisa @PgawaiNegriSans @whiteonoir Beragam. Paling banyak kasusnya itu pembekuan darah sampe meninggal. Bisa di cek kok bukti-buktinya ke IG @.teluuur,Tidak Percaya
"Trus juga ada counter argument, kalau pembekuan darah krn rokok, covid dll lebih tinggi. Tp kan banyak jg org yg menghindari itu jg ragu ama vaksin. Lihat negara lain kayak inggris asal vaksin ini. Membatasi hanya 30/40 thn ke atas krn resiko pembekuan darahnya lebih rendah.",
