Tweet,
"tak faham la kenapa nak kena banding brand vaksin, hina sangat ke tak ambik pfizer/sinovac 😂",
"@QaSehPiPiZola @nurhanaahh @hazimhalimmmm No need to Scare  . . Xplain pelan2 , AZ dos xbrpa tggi mcm pfizer jd alahan dlm badan ok .don't worry .",
Pfizer dah habis ye. Sekarang guna Sinovac. Sama berkesan. Ayuh la semua berdaftar. https://t.co/wQTYsiMNwo,
Beredar lagi berita tak baik pasal vaksin ni. Sekarang mereka cuba mengambil kata-kata Mike Yeadon. Dikatakan bekas pekerja pembuatan pfizer. Please someone enlighten this matter.,
Pfizer dan AstraZeneca dikaji berkesan tinggi melawan varian Covid-19 dari India.. https://t.co/rHiRsDlz4b,
@SahiraMaisarah Aah slot mysj cam pfizer tu akan ada gak nnt tp tula tah bila tah,
Vaksin Pfizer Bisa Sebarkan Virus Corona Lewat Kontak Fisik https://t.co/C0AD6eUNwk,Tidak Percaya
@bintangnoru Tp astra terbukti efektif thdp covid mutasi baru. Katanya baru pfizer dan astra yg terbukti..,
@NoorAminAhmad Saya igt semua MP dapat pfizer fasa 1..,
@Lewisdpi @ReturnedTravelr @GregDore2 Get Pfizer or Moderna ASAP https://t.co/83qAJAvemg,
"Arab Saudi terima jemaah yang dah divaksin dengan AstraZaneca, Johnson &amp; Johnson, Moderna dan Pfizer untuk buat haji pada tahun ini.

Nampaknya yang dapat Sinopharm / Sinovac, kena tunggu lagi la https://t.co/9fXflbsPL3",
Ahhh tak nak AZ sudah tunggula pfizer kau sampai kiamat,
"Uni Eropa hanya menerima wisatawan yang di vaksin Pfizer, Moderna dan Astra Zeneca. Termasuk juga ke KSA yang ingin haji dan umroh.

Padahal Indonesia program vaksinasi massal nya pakai Sinovac dan Sinopharm. Jadi wisatanya ke China doang 😁",
"Awat ghamai sangat dok percaya ayaq nyoq boleh rawat covid tak tau! Kalau lagu tu, tak payah lah dok cucuk Pfizer, AZ bagai, cucuk ayaq nyoq ja. Babi betui",
"🧪 Vaccines used globally

Pfizer/BioNTech (contd.):
🇴🇲 OM 🇵🇦 PA 🇵🇪 PE 🇵🇭 PH 🇵🇱 PL 🇵🇹 PT 🇵🇸 PS 🇶🇦 QA 🇷🇴 RO 🇷🇼 RW 🇸🇦 SA 🇸🇩 SD 🇸🇬 SG 🇸🇻 SV 🇸🇲 SM 🇷🇸 RS 🇸🇰 SK 🇸🇮 SI 🇸🇪 SE 🇹🇨 TC 🇹🇳 TN 🇹🇷 TR 🇺🇦 UA 🇺🇾 UY 🇺🇸 US 🇿🇦 ZA",
