Tweet,Nilai,,,
@katzen_jammer Dari sinovac lom ada terdata di situ kak https://t.co/L26owsIVCj,,,11,19
@Isfy_fav @zarazettirazr @KompasTV coy @Isfy_fav di negara produsennya juga awalnya vaksin sinovac dan vaksin astrazeneca ada fase2nya kan dan akhirnya boleh ? lalu knpa vaksin nusantara seperti 'dihalang2i' sejak awal ? lagipula mendingan ga usah divaksin aja deh apapun merknya,,,,
"Pejabat China Ragukan Keampuhan Sinovac, Ini Jawaban Kemenkes https://t.co/COilNGTrW0",,,,
@KompasTV siapa bisa menjamin vaksin nusantara ? lalu siapa yg bisa menjamin vaksin sinovac ? yg bisa menjamin vaksin astrazeneca ? mendingan ga usah divaksin deh apapun namanya,Tidak Percaya,,,
"@korantempo Vaksin sinovac dr luar langsung ke rakyat. Gantian, vaksin Nusantara dr dalam langsung ke politikus dan pejabat negara. Mantap lah",,,,
"@_retnodewi Masalah karya anak bangsa atau dst itu politik dan bisnis kata aku. Dimana negara kita sendiri kita harus akui ini pandemi dijadiin bisnis sejak awal. Jadi yhaaaaa gitu deh lol.

Sinovac efikasi rendah resiko rendah
Astra efikasi tinggi resiko tinggi",Tidak Percaya,,,
"Vaksin Nusantara karya Terawan tidak menawan buat BPOM, beda ama Sinovac. 

Kemarin Bima Arya ngaku disuruh Kapolda

Mohon bersabar ... ini ujian. #SidangIBHRS_DramaRezim https://t.co/7ENui0bifU",,,,
@cacobocil @drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI pendukung sinovac sm zeneca marah nih ye @cacobocil apapun jenis vaksinnya mendingan tidak usah divaksin,Tidak Percaya,,,
Kahkahkah pfizer confirm rakyat biasa tak dapat punya.last2 tinggal sinovac atau astra tu je.kita mmg kena tipu https://t.co/lrQkaOdwOM,,,,
@_retnodewi Tapi kalo baca utas itu.. sama sinovac ga ada bedanya juga. Perlu diingat juga sih kak sinovac dan astra setahu aku juga belom ada izin edar bpom adanya izin pemakaian darurat. Astra faktanya di beberapa negara diberhentikan. Yg baru bgt di Denmark diberhentikan.,,,,
@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI pembohongan publik ? kalo vaksin sinovac dan zeneca tidak bermasalah ya ? tapi tetap aja sih apapun vaksinnya mendingan tidak perlu divaksin,Tidak Percaya,,,
@DMaudyna @KompasTV @DMaudyna sinovac sm zeneca tidak bermasalahkah ?,,,,
"@rudeski83 @AhmadJapra7 @ninikwafiroh @FraksiPKB @BPOM_RI Hehehe... produk luar negeri cpt di ACC padahal blm juga lolos, ingat Sinovac",Tidak Percaya,,,
200 ml sinovac oral yoldan https://t.co/69Xov2vmb8,,,,
@korantempo Vaksin oposisi lawan vaksin sinovac pemerintah,,,,
@Mi73Hel @TeddyGusnaidi @PakAhmadUtomo dapet info katanya di indonesia fasilitas uji vaksin belum memadai? terus pas uji vaksin sinovac dan satunya lagi gimana ntuh? jujur aku sbg rakyat awam bingung 😳,Tidak Percaya,,,
"Efikasi Vaksin
vaksin Sinovac bekerja dengan efikasi yang berbeda2 pada tiap tingkatan penularan Covid-19
Simak sini guys 👇☺️ https://t.co/U5FKGJK0Cz",,,,
@harlenzulfi @PakAhmadUtomo @ismailfahmi unsur politis ? sinovac sm zeneca ga ada unsur politisnya @harlenzulfi ?,,,,
@TaeNyPau Itu jg vaksin dr kantornya dia ga inisiatip sendiri ktanya sih abis vaksin sinovac,,,,
"@TirtoID Simple nya begini, waktu sinovac muncul IDI BPOM dan kawan kawannya serempak mendukung, tanpa publik tahu ada uji klinis yang berkepanjangan",,,,
