Tweet,Nilai,,,
"Vaksin Merah Putih Siap Digunakan Mulai Pertengahan 2022
#BersatuLawanCovid19 https://t.co/nkivVTboMK",Percaya,,,
Vaksin merah putih sedang du uji coba. Semoga segera lulus uji ya https://t.co/q8OuxSitFE,Percaya,,73,0
"[Update Covid Mingguan 17-23 Mei 2021]

1️⃣ Kasus Naik Drastis?
2️⃣ Mumbai Bisa Kendalikan Covid?
3️⃣ Vaksin untuk Masyarakat Umum?
4️⃣ Vaksin Jebol di Seychelles?
5️⃣ Kelanjutan Vaksin Merah Putih?
6️⃣ Wajib Baca - Cara Pengobatan Covid dari Dokter India

🧵

[1/7] https://t.co/OnLt5gchLB",,,,
"""Kami mendorong semua pihak tidak mengedepankan ego sektoral untuk melihat peluang berkembangnya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara,""

Wakil Ketua @DPR_RI Gus AMI @cakimiNOW https://t.co/9eF7Li35W3",Percaya,,,
"Semoga vaksin merah putih cepet di distribusikan dan berhasil di uji coba. Kalau buatan local harga udah jelas soalnya. Dan gak bs di mainin ky barang"" yg beli dari luar.",Percaya,,,
"Itu kan Vaksin Merah Putih.
Di sisi Vaksin Nusantara, tanggapannya begini, selain persyaratan soal publikasi hasil pengujian tahap pertama. https://t.co/AlIZpNiWGy",,,,
"Lagi nyari tau, kapan Vaksin Nusantara sama Merah Putih bakal dipake, Eh nemu berita ini.
Gua paham, riset itu butuh biaya apalagi kedepannya akan produksi. Cuma kalo kalimatnya ""mendatangkan investor"", ""mendatangkan investasi"" kaya kesannya mencari keuntung di tengah musibah. https://t.co/MVkVIUCb6f",,,,
@Vaksin_Vuritust @jokosurono23121 @DivHumas_Polri @Puspen_TNI @binofficial_ri gimana om? masa didiamkan? Bendera Merah Putih bendera kita loh.... Garuda Pancasila dasar negara kita loh...  Indonesia Raya lagu kebangsaan kita loh... apa kalian terima ditukar ? kalau saya ngga.,,,,
Tiongkok bantu Indonesia bikin Vaksin merah putih pada 1 Januari 2022 nanti supaya Indonesia bebas corona,,,,
Kemkominfo bilang berita banjir aceh &amp; riau &amp; korupsi di riau bakal di blokir waktu belum di tentukan karena vaksin merah putih belum tiba,,,,
"Wakil Ketua DPR RI bidang Korkesra, Gus AMI @cakimiNOW mendorong semua pihak tidak mengedepankan ego sektoral dalam melihat peluang berkembanganya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara.
@DPR_RI
@DPP_PKB
https://t.co/VZuthbs9zF",,,,
"FKUI sebagai salah satu  institusi kedokteran terama&amp; tertua di Indonesia,turut peduli terhadap masalah kesehatan bangsa termasuk pandemi Covid-19..baik turut membantu pelaksanaan vaksin,uji klinik vaksin&amp; pengembangan vaksin merah putih..
@Medicine_UI 
https://t.co/QH4Wdf3ir9",,,,
Perusahaan Astra akan memberikan vaksin mandiri Merah Putih sebanyak 2.400 dosis.  https://t.co/ICIWDcqjHz,,,,
@ayasayas28 Imbas dari berita vaksin AstraZeneca yg batch tertentu nya ditarik itu gaksi yas? Mungkin mau nunggu yg merah putih officially launched.....,,,,
"Wakil Ketua DPR RI bidang Korkesra, Abdul Muhaimin Iskandar atau #GusAMI mendorong semua pihak tidak mengedepankan ego sektoral dalam melihat peluang berkembanganya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara.
https://t.co/3XrloTw43M",,,,
"@jokowi @bbh_oldy vaksin merah putih, vaksin nusantara bagaimana kabarnya?",,,,
"Wakil Ketua DPR RI bidang Korkesra, Abdul Muhaimin Iskandar atau #GusAMI mendorong semua pihak tidak mengedepankan ego sektoral dalam melihat peluang berkembanganya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara. @cakimiNOW 
https://t.co/Lz5w1VWuCW",,,,
"@ProfesorZubairi Vaksin merah putih kapan prof? Bisa gak sih prof nolak vaksin dari luar, cuma nunggu vaksin merah putih?",,,,
@jokowi Dan @eijkman_inst Lama bgt vaksin merah putih nya. Ud 1 thn lebih uji klinis tahap 3 aja blum,,,,
"Vaksin Merah Putih kini sedang memasuki uji pra klinis pada hewan besar. Rencananya vaksin buatan anak bangsa ini nantinya akan masuk program pemerintah.
#NewNormal https://t.co/cwpL3V382S",,,,
"Vaksin merah putih direncanakan akan dimulai pemberian dosis pertama pada hewan besar, yakni maccaca, kata Gubernur Khofifah",,,,
"“Prinsipnya kami di Pemprov Jatim siap mendukung suksesnya riset vaksin merah putih ini sampai final"" kata Gubernur Jatim",,,,
"Kata Gubernur Jatim, pemerintah pusat menargetkan vaksin Merah Putih selesai dikembangkan dan siap dimanfaatkan pada Desember 2021'",,,,
Gubernur Jawa Timur memastikan pihaknya mendukung penuh riset vaksin Merah Putih yang tengah dikembangkan Universitas Airlangga,,,,
"Didukung Khofifah, Vaksin Merah Putih Mampu Hadapi Virus Covid Varuan Baru",,,,
