Tweet,Nilai,,,
@ferdiriva Kemaren aku ditawarin vaksin AZ tp desas desus nya di peruntukan utk diatas 30. Dan karena aku belom masuk minimal utk AZ jd gajadi vaksin. Jadi gimana dok? Yg bener gimana? Suruh tunggu yg sinovac atau ga nusantara.,,,11,19
Ye tak ye. Dorang semua dh vaksin kan? Misteri nusantara ni https://t.co/nqaKUtKEmu,,,,
"Di masa covid..
70% itu murni suara rakyat kecil..

Rakyat yg ngerti terima kasih dan  bersyukur atas hidupnya..

Kita berdoa saja Indonesia cepat keluar dr krisis pandemic dan Vaksin Nusantara dapat efektif utk melawan semua jenis covid..

Jangan lupa wisatalah dalam negeri..",Percaya,,,
"Wakil Ketua DPR Dorong Lagi Peluang Vaksin dalam Negeri, Seperti Vaksin Nusantara https://t.co/61fSGlXdEy",,,,
"@dondihananto @ferdiriva Ini serius nanya, vaksin nusantara udah ada diedarkan dan dipakai belom sih?",,,,
"terkagum2 sama tulisan orang2 bergelar berjibun. Contoh: kagum sama vaksin nusantara, sama terapi DSA yg dikerjakan melebar kemana2
4. Dapat mengakui bhw dia butuh orang lain
5. Dapat berkolaborasi dengan orang lain. Bukan semata2 dg dokter. Kaya saya, perlu kolaborasi dg",,,,
"jangan sampai orang tercinta terkena covid, dukung vaksin utuk keluarga yang sehat Nusantara Jaya #mudik #covid19 #prokes Anies https://t.co/ZIsVJ8xdbM",Percaya,,,
@ferdiriva Kalau yg ada vaksin Nusantara gmn? 😜,,,,
"Pak @terawan,saya seorang guru penyandang disabilitas(polio),bisakah saya divaksin juga dengan vaksin Nusantara 🙏",,,,
Siti Fadillah Puji Terawan Tolak Dubes Demi Vaksin Nusantara https://t.co/mt2u3cWlw5,,,,
"Vaksin gotong royong gratis untuk pekerja. 
Nusantara Jaya https://t.co/moDD5pvk25",,,,
"Vaksin Covid dikawal para ahli. 

Nusantara Jaya https://t.co/TbBiIc54Xy",,,,
"Pentingnya vaksin Covid dapat mengurangi transmisi atau penularan virus. 

Nusantara Jaya https://t.co/DC6bK39DN6",,,,
[POPULER NUSANTARA] Dokter Jual Vaksin Sinovac Rp 250.000 | Pengibaran Bendera Setengah Tiang di Papua,,,,
"Vaksin hasil penyelewengan di Medan dijual Rp 250.000 per orang untuk dua dosis. Penerima juga bisa mendapat sertifikat. #Nusantara #AdadiKompas.

https://t.co/TfXIMVTgMi",,,,
"Riset vaksin dilakukan dengan jalan yang panjang, dan vaksin juga dibuat sesuai dengan kebutuhan, mari kita dukung vaksinasi Nusantara Jaya #mudik #covid19 #prokes Anies https://t.co/wBLqSeOnq1",Percaya,,,
vaksin merupakan harapan kita untuk kembali menjalin kehidupan yang normal Nusantara Jaya #mudik #covid19 #prokes Anies https://t.co/Jn782Diy1U,Percaya,,,
"jangan takut vaksin, karena sudah terbukti aman dan halal Nusantara Jaya #mudik #covid19 #prokes Anies https://t.co/fGiPhQT764",Percaya,,,
"Kita sudah rindu dengan kehidupan sebelum adanya covid, mari kita dukung vaksin agar kita bisa normal kembali Nusantara Jaya #mudik #covid19 #prokes Anies https://t.co/k91XQSgDiF",Percaya,,,
"melawan covid butuh kekompakan, mari kita dukung vaksin bersama kita bisa melawan covid! Nusantara Jaya #mudik #covid19 #prokes Anies https://t.co/PEH1Cg75JL",Percaya,,,
Wakil Ketua DPR RI @cakimiNOW dorong lagi peluang vaksin dalam negeri. https://t.co/Z9Ut0EZGx2,Percaya,,,
"Wakil Ketua DPR Gus @cakimiNOW Dorong Lagi Peluang Vaksin dalam Negeri, Seperti Vaksin Nusantara
 https://t.co/mq5YtMpnt1",Percaya,,,
"https://t.co/IA0gkVNlGB

Ketua Dewan Pertimbangan Partai Berkarya, Siti Hediati Hariyadi alias Titiek Soeharto menjadi salah satu relawan vaksin Nusantara.",Percaya,,,
Apa khabar vaksin Nusantara? https://t.co/KeuL5RUjTG,,,,
"@Vanell0peVS Itu nimelesh yang kakak retweet itu dokter di Malaysia kak, kan vaksin Nusantara cuma di indo doang jadi ga ada di gambar dia, malah mungkin dia ga tau tentang vaksin Nusantara.
Loc dia di Malaysia Trus komennya dia orang malay semua juga.",,,,
"Punya Riwayat Diabetes Guru di Sulteng Meninggal Usai Vaksin
#COVID19 #VaksinasiNasional
https://t.co/5rsEGEVa8R",,,,
