Tweet,Nilai,,,
"Meski Tanpa Izin BPOM, 40 Anggota DPR ‘Jajal’ Vaksin Nusantara https://t.co/M90EaNs73O via @Indopolitika",,,123,90
"ngadi² aja emang ini anggota DPR, udah divaksin kok ya malah jadi objek tes vaksin Nusantara. proyekannya siapa sih ini https://t.co/dHDXSYQqtt",Tidak Percaya,,,
"Pernah beli vga merk indo, ternyata vga brand luar negeri di-rebrand versi lokal. Kalau vaksin nusantara pasti ga kaya gitu. Pasti asli :)",,,,
"&gt; habis ngingetin ortu

""Mah, Pak kalo nanti kebagian vaksinasi terus vaksinnya vaksin Nusantara jangan mau, bermasalah dari uji2 percobaannya,  ga sesuai hukum dan etik. Mending merk lain yg udah ada hasil percobaannnya"".",Tidak Percaya,,,
"Sejumlah Anggota DPR Diambil Darah Untuk Vaksin Nusantara, IDI: Benar-benar Ganjil https://t.co/hJn8q9hp77",,,,
"Demi Keamanan, IDI Minta Terawan &amp; Peneliti Vaksin Nusantara Patuhi BPOM https://t.co/TTmcoceBWt",,,,
"Jika bangsa Indonesia memiliki vaksin nasional, apa pun mereknya, baik vaksin Nusantara, Merah Putih, maupun lainnya, Indonesia akan sejajar dengan negara besar, kata Budi. https://t.co/PSOUVDiBdx",Percaya,,,
@liputan6dotcom Kenapa vaksin Nusantara ini terkesan tidak dapat dukungan dari stekholder terkait,,,,
"Dr. Tifauzia Tyassuma:
Jangan Sampai, Karena Dilarang BPOM, Uji Klinis Vaksin Nusantara Di Amerika dan Kita Harus Beli Dari Mereka Lagi @jokowi
#jokowi
#bpom
#kemenkes
https://t.co/KhTxOlYc3u https://t.co/biCT9dQFVk",,,,
Produk antigen SARS CoV-2 yang digunakan sebagai bahan utama pembuatan vaksin dendritik ini bukan merupakan Pharmaceutical grade. #kumparanNews https://t.co/B0NXWvb4TH ini si Terawan udah ga ngejabat tp masih aja jd nyusahin bangsat.,Tidak Percaya,,,
Satgas Covid-19: Penghentian Uji Vaksin Nusantara ada di BPOM https://t.co/rsgeCkC8ci https://t.co/61XSpTfate,,,,
"Khawatirkan Keamanan Vaksin Nusantara, IDI Pertanyakan Jaminan Prosedur Pengujian https://t.co/lrjEfM5M9B https://t.co/pynRtB0tEl",Tidak Percaya,,,
"IDI &amp; Jajaran BPOM BERANG !
Agt DPR ikuti Ujicoba klinis vaksin Nusantara.
""Agt DPR dukung para peneliti dan dokter2 yg bikin vaksin, demi kemandirian Indonesia dlm produksi vaksin, tdk tergantung negara lain.
https://t.co/03AYIdogTl
@enny_endah @agengkkk @singgihk8 @Genesis7173",Percaya,,,
"@SahabatSaber Wooii..
Baca niih
https://t.co/cnNjQj4oVS",,,,
"Kosmetik abal² aja diberangus. Apalagi ini masuk langsung ke dalam tubuh.
Harus ada keberanian dari pihak kepolisian dan bpom untuk melindungi rakyat.
https://t.co/xaRKsmGNXr",,,,
"Vaksin Nusantara besutan eks Menteri Kesehatan Terawan Agus Putranto kembali menjadi perbincangan publik usai politikus senior Partai Golkar Aburizal Bakrie (Ical) menjadi relawan dalam uji coba vaksin itu. 
https://t.co/Wd0D0xHizB",Percaya,,,
"@syahirularif @munthe_alfredi @ProfesorZubairi Lanjut lagi, vaksin nusantara jelas berantakan sekali menurut penemuan BPOM. Keamanannya, bila tidak ada perbaikan, meragukan. Ya wajar sekali Aivita Indo memperbaiki kekurangannya, baru balik lagi ke BPOM untuk izin uji klinik. Ini udah STANDAR bgt di seluruh dunia...",Tidak Percaya,,,
"BPOM: 71,4 Persen Relawan Uji Klinik Vaksin Nusantara Alami Kejadian Tak Diinginkan https://t.co/d3GHByvMmn",Tidak Percaya,,,
@geloraco Ooh ternyata ada juga ya vaksin nusantara...ane kira cuma islam nisantara doang..😁,,,,
"@geloraco Vaksin nusantara buatan dalam negri minim pemasukan impor kantong bisa tebal, kalau memang vaksin bagus kenapa mesti melolak, wakil rakyat memang hebat.",,,,
Kisruh Vaksin Nusantara di DPR! https://t.co/keqLJfBIfP,Tidak Percaya,,,
"Inilah sejumlah tokoh bangsa yang melakukan vaksinasi dengan vaksin nusantara hasil buah karya dari dr. Terawan Agus Putranto.

#Vaksin #vaksinnusantara 
@KemenkesRI @DPR_RI @jokowi https://t.co/C7S1KPMjxF",Percaya,,,
@ProfesorZubairi Anggota dpr nya mungkin pada gak mau jadi impoten .. Jdi mending pake vaksin nusantara ..gitu gak sih? https://t.co/CqWddAKZnC,,,,
"@SahabatSaber @luckyroedyh72 Semua vaksin pasti ada efek samping, yg penting tdk berbahaya bagi tubuh,. Vaksin nusantara membangkitkan semangat cinta produk indonesia,  otomatis cinta tanah air.",,,,
Yakin pak udh d vaksin pake vaksin nusantara? Praklinis nya? https://t.co/LlJjzMaEKA,,,,
"Oooh udah pada daftar imunisasi vaksin nusantara, tho. Monggo~ https://t.co/qjRIEDSVRu",,,,
"@5Kapten @KompasTV BPOM mengawasi obat yg diproduksi/diedarkan di indonesia. Sufmi Dasco rela, sadar dan rasional mau menjadi kelinci percobaan uji klinis vaksin nusantara. Aneh kalau uji Sinovac didukung bpom, tapi tidak utk vaksin nusantara. Lbh aneh lagi bpom tutup mata setuju saja AstraZeneca. https://t.co/lUWfBA1V72",,,,
Kemenkes menegaskan mendukung arahan BPOM terkait izin uji klinis vaksin Nusantara. Pengembangan vaksin harus memenuhi kaidah ilmiah yang diakui dan sesuai standar WHO. #kumparanNEWS https://t.co/QWC85NbVf0,Percaya,,,
Satgas Covid-19 Ingatkan Vaksin Nusantara Harus Sesuai Standar WHO Sebelum Disuntikkan https://t.co/MLDFxS3v1x https://t.co/WpDTbfE3FR,,,,
"@Syarman59 @PBIDI @DPR_RI PB IDI dan BPOM mungkin kalah pamor sm dr Terawan, jadi apapun yang dilakukan dr Terawan jadi serba salah. Tapi saya yakin, seandainya MUI tiba"" entah karena apa jadi setuju dgn Vaksin Nusantara, pastilah IDI n BPOM itu juga setuju Vaksin Nusantara.",,,,
"Kepala RSPAD: Anggota DPR Menjadi Sampel Vaksin Nusantara  @DPR_RI 
https://t.co/4VGHzCUrNm",Percaya,,,
"Jadi Relawan Vaksin Nusantara, Mantan Panglima TNI:  Demi Bangsa dan Negara  @tni_ad 
https://t.co/K0PzYzQmpQ",Percaya,,,
@TulipKuning5 @Vante_Mrs @CNNIndonesia Kalau begitu kenapa vaksin Nusantara malah ngotot - disokong temen-temennya di DPR- meminta kepada BPOM kalau merasa BPOM tidak mampu? Kalau pede dengan keamanan dan efektivitasnya pergi aja ke FDA (AS) dan EMA (Eropa). Takut?,,,,
"Adian ini emang manusia logis..
Jantung Ring 5, kenapa ga dicoba vaksin yg dari sel sendiri..?

Untuk Adian yg ga bisa coba vaksin manapun, vaksin Nusantara jadi harapan buat dia..

👍👍👍
https://t.co/cZI1ieuYwn",,,,
"""Kalau fase 1 belum dinyatakan memenuhi syarat, maka peneliti seharusnya memperbaharui dan memperbaiki uji klinis fase 1. Jangan melangkah ke fase selanjutnya.""

https://t.co/4jiLbLEv0w",Tidak Percaya,,,
saya sangat bangga dan mencintai hasil karya putra Indonesia https://t.co/nuHuj2RXdV,Percaya,,,
"Vaksin Nusantara Jadi Sorotan, BPOM Beberkan Masalah yang Terjadi Sejak Uji Klinis Pertama

https://t.co/mRYL2sGsEG 

#vaksin #nusantara #ujiklinis #bpom #virus #covid19 #antibodi #merahputih #indonesia #nasional #prmn #prmnsahabatumkm #pikiranrakyatmedianetwork #pikiranrakyat",Tidak Percaya,,,
"Kepala Badan Pengawas Obat dan Makanan (BPOM) Penny K. Lukito menegaskan tidak pilih kasih terhadap pemberian izin vaksin apapun termasuk vaksin Nusantara.

Baca selengkapnya di: https://t.co/DX2ZePBHfz https://t.co/vsbHg5q2Th",,,,
"IDI &amp; Jajaran BPOM BERANG !
Agt DPR ikuti Ujicoba klinis vaksin Nusantara.
""Agt DPR dukung para peneliti dan dokter2 yg bikin vaksin, demi kedaulatan dan kemandirian Indonesia dlm produksi vaksin, tdk tergantung negara lain.
https://t.co/03AYIdogTl
@MrsRachelIn @ijadz_cs @FNt70",Percaya,,,
"@malakmalakmal Itu vaksin asing om, labelnya doang Nusantara.",,,,
"Terkesan Membodohi bangsa Indonesia, Vaksin Nusantara Buatan California 

Baca selengkapnya di sini! 
https://t.co/MOSxsORtHA

#vaksinnusantara #vaksin #vaksinasicovid19 #news",Tidak Percaya,,,
"Legislator PDIP Kompak Tak Mau Disuntik Vaksin Nusantara
https://t.co/9K7Vkv2JIs",Tidak Percaya,,,
"Kamu itu masih idup, jangan jadi setan 😂😂

LGBT, PDKT, takjil
vaksin nusantara https://t.co/ZkSGTppoaI",,,,
"@Syarman59 @PBIDI @DPR_RI Jika dibuka daftar relawan saya bersedia divaksin nusantara..... Nunggu prioritas vaksin, saya tidak termasuk prioritas apa2...",,,,
RSPAD: Anggota DPR menjadi sampel vaksin Nusantara https://t.co/gy4mZ37sqd,Percaya,,,
"Vaksin Nusantara Diuji Klinis Fase Dua Tanpa Izin BPOM, Prof Zubairi: Ini Benar-benar Ganjil https://t.co/gPRQiXcHI0",Tidak Percaya,,,
"Vaksin Nusantara Diuji Klinis Fase Dua Tanpa Izin BPOM, Prof Zubairi: Ini Benar-benar Ganjil https://t.co/czbyFPbjFw",Tidak Percaya,,,
"Pro Kontra Vaksin Nusantara yang Digagas Terawan, Begini Kata Satgas Covid-19 https://t.co/0lWTB1fTm6",,,,
"@motizenchannel Mustinya Menkes ttp kembangkan vaksin Nusantara dg alsn yg punya penyakit penyerta bs di vaksin, jgn dihambat dg alsn mcm2, bantu solusinya.",,,,
"Selamat Berbuka Puasa
Bima Arya
kuningan
Terawan
Vaksin Nusantara
#AyoMudik https://t.co/o2Cv60TCiK",,,,
"@KompasTV Bukanny kasih masukan sebagai sebuah lembaga...ini malah terkesan nyinyir...padahal baru dlm tahap uji coba.
Tapi sy tetap mendoakan semoga vaksin nusantara ini benar benar bisa terealisasi...🙏🙏",Percaya,,,
"@ProfesorZubairi sy nonton prof malam ini di tv one, sy harap prof tetap tegas thdp vaksin nusantara, kalau memang blm siap dan blm lulus uji tahap 2 yaa seharusnya jgn diberikan izin. Sy percaya @BPOM_RI tetap profesional. Salam sehat prof.",,,,
@5Kapten @KompasTV Setidaknya ada usaha anak bangsa yg mencoba membuat vaksin nusantara untuk membantu bangsa keluar dari masalah covid 19. 😇😇,,,,
Vaksin Nusantara smg terlaksana dgn baik &amp; cepat,Percaya,,,
"PAN: Vaksin Nusantara Mumpuni, BPOM Harus Segera Keluarkan Izin https://t.co/tkSyG0Mf2w",,,,
@ninikwafiroh @DPP_PKB @FraksiPKB @PKBTV Sebelumnya dewan sdh diberi vaksin sinovac ya? Terus ditambahi vaksin nusantara. Terus yg berperan yg mana?  Mestinya vaksin nusantara diberikan ke yg belum pernah divaksin,,,,
"@BPOM_RI mengungkap semua komponen utama harus diimpor, pemilik paten adalah @AIVITABio , riset dikerjakan peneliti asing, ada masalah pada data. Aneh, kalau ada yg masih bilang produk karya bangsa Indonesia, dan membuta percaya vaksin nusantara. @KemenkesRI harus bertindak tegas https://t.co/4RkyneVkZ7",Tidak Percaya,,,
"Anak Bertanya ~Bimbo

""Pak Jusuf, ada apa to di Serang, Banten?""

Sayang sekali, pertanyaannya bukan itu. Tapi, jawaban Binbo sudah pas. 

Salam hormat untuk Pak Terawan dengan vaksin ciptaannya: Vaksin Nusantara. ❤🇮🇩 https://t.co/RDtn29pUJX",,,,
"Sekilas nonton talkshow di tv mengenai vaksin nusantara. 

""Karya anak bangsa harus didukung"" - anggota DPR

🥱",,,,
Satgas Covid-19 Minta Vaksin Nusantara Ikut Kaidah WHO https://t.co/E8qP0QLeay,,,,
hm vaksin nusantara hmm,,,,
"@aldipu @ampunannya @syahirularif @ProfesorZubairi Padahal bahan-bahan vaksin nusantara sebagian besar malah import, makanya heran kenapa dikasih 'judul' nusantara 😅",Tidak Percaya,,,
"VAKSIN NUSANTARA GAES

Lah.. kalo impor itu sama kek proyek mobnas gitu ya... https://t.co/2MC9DR5vMF",Tidak Percaya,,,
"Sudah Divaksin Sinovac 2 Kali, Legislator PAN Mau Disuntik Vaksin Nusantara? https://t.co/eUytB7PILK #Terbaru #berita #live #metro",,,,
"@drpriono1 @BPOM_RI Sepertinya "" pemaksaan "" melanjutkan program vaksin Nusantara di RI karena mungkin ada kontrak antara beberapa pihak dengan Aivita Biomedical yg ada sanksi pembatalan kalau tdk dilanjutkan. Heran @KemenkesRI tdk turun tangan untuk membuka masalah yg dilakukan Menteri yg lalu.",,,,
"Aku bukan pakar. Tidak tahu vaksin Nusantara baik/kurang baik. 

Makanya selama ini masih menunggu publikasi ilmiah atau seminimal mungkin mengikuti expert opinion. 

Siapa pakarnya?, imunologi, virologi, dan ilmuwan2 dg rekam jejak jelas.

Pak Terawan?, hehe gak dulu. https://t.co/MnH1zWV8EN",,,,
Ini Alasan Ketua Fraksi PAN DPR Mau Terima Vaksin Nusantara   https://t.co/xpZGX0uwEG,Percaya,,,
@G_paseksuardika Kira2 apa kepentingan BPOM mempersulit Vaksin Nusantara?? Kenapa hasil2 dalam negri sendiri tidak justru jadi kebanggaan..,,,,
Seharusnya @KemenkesRI mensupport vaksin Nusantara Dan menyadari kl orang jujur seperti Dr Terawan banyak musuhnya Di IDI atau BPOM . Sesekali keberpihakan thdpt orang berintegritas penting. @jokowi ... @Puspen_TNI @BNPB_Indonesia @luhutbinsarp @PolhukamRI,,,,
"@HeyyFarahhhh Hy opini dipaksakan jadi fakta.
Tuh mantan menteri kesehatan ibu siti fadilah mau ikut vaksinasi dgn metode vaksin nusantara.
Blm lg dahlan iskan yg sgt dukung metode ini.

Kalau punya argumentasi yg berdasarkan data boleh deh dipaparkan.
Cm dugaan, tuduhan aja yg ditulis.",,,,
@nila_mrt Kok jadi MENGADU DOMBA uji coba VAKSIN NUSANTARA dan BPOM ?,Tidak Percaya,,,
"@ProfesorZubairi Vaksin Nusantara Diuji Klinis Fase Dua Tanpa Izin BPOM, Prof Zubairi: Ini Benar-benar Ganjil

https://t.co/5QUxwWEEq8",Tidak Percaya,,,
"Vaksin Nusantara Diuji Klinis Fase Dua Tanpa Izin BPOM, Prof Zubairi: Ini Benar-benar Ganjil https://t.co/jjwvhvF7R8 #BPOM #TerawanAgusPutranto #UjiKlinis #VaksinNusantara",Tidak Percaya,,,
IDI minta tim peneliti vaksin Nusantara ikuti arahan BPOM https://t.co/RJWUryf6Wk,,,,
"@penyejuk_hati_ @PBIDI @DPR_RI Vaksin Nusantara 
Perseteruan IDI Vs dr. Terawan. https://t.co/MKAktcHWI0",Tidak Percaya,,,
"@pengarang_sajak Udah nih gercep lsg BPOM :
 https://t.co/YOtnh3PF4w",,,,
"#Indonesiasaysorryforthailand
Bima Arya
kuningan
Terawan
Vaksin Nusantara
#AyoMudik https://t.co/HsWSTzIAoN",,,,
"Mantan Panglima TNI Jenderal Purnawirawan Gatot Nurmantyo ikut menjadi relawan dalam uji klinis vaksin Nusantara yang digagas Mantan Menteri Kesehatan Terawan Adi Putranto.

Selengkapnya di: https://t.co/SYA1EGNygQ https://t.co/n2BGDX4oPo",Percaya,,,
"2. Enak ya jadi politisi, tanpa latar belakang kesehatan spt @G_paseksuardika bisa berkomentar tentang vaksin Nusantara dan Genose. Ditambah narasi populis ""bisnis vaksin dan alkes impor"". 

Ikuti kaidah sains, buat diskusi dua arah untuk memberikan data yang valid ke masyarakat.",,,,
"22. Bahwa kemarin Sudi menjalani vaksinasi Vaksin Nusantara ia hanya mengatakan :
""saya ingin memenuhi seruan Bapak Presiden Jokowi untuk mencintai produk dalam negeri !""",,,,
"@mbahndi Ada yang percaya vaksin Nusantara ada yang tidak, Bapak Aburizal Bakrie, Pak Sudi Silalahi sudah dan bu Fadilah Supari sudah mendaftarkan diri menjalani vaksinasi Nusantara.",,,,
@CNNIndonesia Walau saya sdh divaksin tapi saya juga ingin pakai vaksin nusantara. Entah knp saya kok yakin ya dg vaksin ini.,Percaya,,,
"Para peneliti vaksin Nusantara tetap melanjutkan uji klinis Fase II meski belum disetujui BPOM. Bagaimana nasibnya ke depan, apakah tetap bisa digunakan? https://t.co/hnLTKEU7ls",,,,
"@Syarman59 @PBIDI @DPR_RI Kalo ini, Pak? 
https://t.co/5ixKaWJnNj",,,,
Dpr hebat jadi relawan uji vaksin nusantara 👍🏿👍🏽👍🏻,Percaya,,,
Islam Nusantara dan vaksin nusantara bikin gaduh?,Tidak Percaya,,,
"Soroti Vaksin Nusantara, Ketua Satgas Covid-19: BPOM Belum Keluarkan Izin, Ini Benar-benar Ganjil https://t.co/03B1X0YTae",Tidak Percaya,,,
"@CNNIndonesia Dokter2 sepertinya pd kebakaran jenggot, krn bisnisnya bakal pd terganggu dr terawan memang diakui kog, knp dijelek2in ? Kalau vaksin nusantara beredar maka dagangan vaksin dan test pcr maupun antigen segera tak laku, byk yg gagal busines yaaaa",,,,
"""Konsekuensinya kalau sebagai penelitian saja tidak apa-apa, asal tidak menjadi produk yang akan dimintakan izin edar""

BPOM: 71,4 Persen Relawan Uji Vaksin Nusantara Alami Kejadian Tak Diinginkan https://t.co/RDXV5ljcJ7",,,,
@adfathurr Udeh. Mari dukung vaksin Nusantara buat populasi Indonesia menurun,,,,
Ada Vaksin Nusantara &amp; Vaksin Merah Putih... https://t.co/DzhEfg06ri,,,,
"Konyol,
Dulu sebelum ada yg lolos aja ketatnya nggak main2, sekarang kudunya ya tetap ketat dong. Harus lebih hati2, no pressure

Gatot tidak mempermasalahkan vaksin Nusantara yang belum mendapat persetujuan pelaksanaan uji klinis fase II BPOM https://t.co/3434FjmoEh",,,,
"@KompasTV @TOPKopi #SapaIndonesiaMalam, saya dengar anggota DPR sudah dapat suntikan vaksin Sinovac/AstraZ/Pfizer.  Kalau dapat suntikan vaksin Nusantara lagi, apa hasil ujinya akan valid?",,,,
Sufmi Dasco: Vaksin Nusantara Tak Perlu Diperdebatkan Lagi https://t.co/3UVJAUC6Vl,,,,
"@Joshimakim Mengapa BPOM seperti menghalangi pengembangan vaksin Nusantara, ada apa ??",,,,
"@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI Pak Sudi Silalahi sudah di vaksin Nusantara, ""Sudi menjalani vaksinasi Vaksin Nusantara ia hanya mengatakan: saya ingin memenuhi seruan Bapak Presiden Jokowi untuk mencintai produk dalam negeri! ""(*)

Sumber: https://t.co/fq4KqfQNVD",Percaya,,,
"Dan itu bukan vaksin yak,itu metode nya pengobatan personal vak nusantara itu @sofiesyarief ksi tau aiman @CNNIndonesia @detikcom @kompascom Jadi jangan seenak nya aja suntik in ke angg dewan @DPR_RI Dungu itu,dah kerjaan korupsi melulu,ngabisin angg mau nya gratis,mati aje loe",,,,
Presiden Jokowi akan segera melantik dua menteri baru. Namun pelantikan tersebut belum tentu diikuti oleh reshuffle kabinet. #TempoNasional https://t.co/4xIfFkPpQF,,,,
"1. Saya amat sangat berharap Indonesia bisa mandiri dalam sektor kesehatan. Mimpi ini harus diwujudkan secara riil, dengan atmosfer sains yang baik. Bukan instan. 
Jika vaksin Nusantara dan Genose mengikuti kaidah sains yang seharusnya, bagaimana mungkin saya tidak bangga?. https://t.co/fxMGxx8o42",,,,
"@nila_mrt @jokowi Saya punya usul gan, kalo kita ga mau pakai virus nusantara hasil karya anak bangsa, ya sudah, langsung produksi massal aja dan kita export, banyak negara lain yg membutuhkan, klo permintaan vaksin meningkat terus, berarti sudah berhasil, kita akan kaya...",,,,
"Gampang gue baca otak mereka..

71.4% temen gue jg ngalami gak enak kek gitu waktu habis berobat ke sinshe dan dukun..

waktu terima vaksin MMR jg gue sulit ngaceng..
cuma males aje ngasih tau BPOM..
🤦‍♀️🤦‍♀️🤦‍♀️

https://t.co/IbnfqUFTil",,,,
Tanggapan Satgas Covid-19 Soal Temuan BPOM Terhadap Uji Klinis Vaksin Nusantara https://t.co/X1D8i1r6YC,,,,
"Goks! Sederet Tokoh dan Anggota DPR Rela Antre Panjang Demi Disuntik Vaksin Nusantara Besutan Dokter Terawan

https://t.co/VAfyPyrROm",Percaya,,,
"Ketika dipersulit di BPOM dll, mungkinkah ada gerakan rakyat memilih dg kesadaran sendiri vaksin Nusantara sebagai bentuk trust kpd anak bangsa seperti halnya Genose. 
Betapa ngamuknya pemain vaksin dan alat medis impor yang selama ini sudah nyaman mendominasi ya..?",,,,
Kl seandainya sdh ada di jawa timur..sy siap vaksin nusantara https://t.co/xZr88jZcCx,Percaya,,,
"Sebanyak 71,4 persen relawan vaksin Nusantara mengalami kejadian tidak diinginkan. https://t.co/hyasRP7swu",Tidak Percaya,,,
"Vaksin Nusantara ini pelik yaa ~~ 
baru kali ini kesian sama anggota DP12 😬. tp ga tau deh ...",,,,
"@CNNIndonesia dari berita diatas : vaksin Nusantara sebagian bsr bahan adlh produk impor, blm lulus uji klinis 1 &amp; 2. 
terus?? mau disuntikkan ke orng, ya silahkan anggota dpr nya saja, tuh udh bersedia.",Tidak Percaya,,,
"Uji Klinik Fase 1 Vaksin Nusantara, BPOM Sebut Ada Komponen Tambahan yang Tak Diketahui Isinya https://t.co/3xasL8f2yg",,,,
Eijkman: Vaksin Nusantara Tidak Bisa untuk Vaksinasi Massal https://t.co/n301eySZvt https://t.co/DWuMiT6gkR,Tidak Percaya,,,
"Vaksin Nusantara adalah dagelan terkini dari deretan kelucuan negeri ini 🤡

Sama nyawa kok main-main 😛 https://t.co/WJGqPxxwkN",Tidak Percaya,,,
