Tweet,Nilai,,
"alhamdulillah atok belah abah dah ambil vaksin tadi♥️ she's 70+ okiee, alhamdulillah dia okay je🥰 terima kasih family tok uda dekat kampung tolong uruskan!",,149,42
assalamualaikum @MuhyiddinYassin @DGHisham @DrAdhamBaba. sebelum ni kata kalau dah ambil dua dos vaksin dah boleh rentas negeri. apa cerita sekarang ni??? korang ni memang taik ke? kerja nak menipu je,,,
dekat status ws aku ada sorang ni aku tak tau lah otak letak mana. dia punya anti vaksin sampai covid pun dia kata agenda kerajaan. kalau nak maki kerajaan sekali pun aku tak kisah tapi sampai orang yang meninggal sebab sakit pun dia boleh buat main. sumpah dia tutttttttt. https://t.co/4uf2Gszuk4,,,
"Indonesia dukung penghapusan hak paten vaksin covid-19
#JokowiLawanPandemi https://t.co/0ZwGy97w6P",,,
@AdilAdham25 jangan paksa diri sangat dil lps vaksin kalau terpaksa berbuka go je dil,,,
"@mkini_bm Apa lagi kami boleh buat? Nak kata tak follow SOP, like hell kami akur semua rules. What the heck?? Soalannya, mana vaksin disaat kami sihat? Kenapa masih lembap nak salurkan ke rakyat????!!",,,
"@elorakdshn Kalau betul industrial people adalah frontliners then patut government focus at the right industry, contoh people who comes from medical industrial(buat barang hosp,ubat ubat)

Tak ada dengar pun kami ni frontliners dpt vaksin dulu even manufacturing hosp tool guna utk covid care",,,
"@Menlu_RI mengungkapkan Indonesia mendukung penghapusan hak paten vaksin Covid-19.

Hal itu disampaikan Retno ketika menerima kedatangan 1.389.600 dosis vaksin Covid-19 asal Inggris, AstraZeneca di Bandara Soekarno-Hatta, Tangerang, Banten, pada Sabtu (8/5/2021). https://t.co/sULyh6i8DD",,,
"Sebab ni la aku tak daftar lagi untuk ambik vaksin, bukan boleh dapat dalam masa terdekat ni. Bagi kroni/orang ada duit pakat dapat dah semua baru aku apply https://t.co/SWQaq2Ym7n",,,
"TOLONGLA KERAJAAN, PANTAS SIKIT BUAT KERJA!!

pkp 1.0 and 2.0 maybe semua rakyat boleh follow, tapi bile pkp 3.0 dah start, maaf ye kami bukan lembu nak follow je semua arahan korang. 

pantaskan pembahagian vaksin dengan segera. tu je cara yang nampak cerah sikit masa depan",,,
malu la makcik2 yg anti vaksin tu 🤪 https://t.co/JUAipLnO8S,,,
Vaksin takmau rentas daerah and negeri mau aiyo,,,
