Tweet,Nilai
Vaksin Nusantara tuh ya.... mau komen tapi ini sosmed takut viral.,
"Intervensi anggota DPR di Vaksin Nusantara ganggu sistem pengawasan obat dan makanan

https://t.co/zXH61ARJwn",
"Vaksin nusantara hampir ga mungkin ga di hambat krn .......

https://t.co/Qvw1GdyD4V",
"Harusnya yg punya komorbid gak boleh divaksin

Makanya pak Terawan bikin vaksin Nusantara kan itu aman utk yg punya komorbid 😬 https://t.co/I68I02Itlx",
"Telat, HMI MPO Ajak Komponen Bangsa Dukung Vaksin Nusantara https://t.co/VsH5kR0Me2",Percaya
"Jangan ragu &amp; takut main ke Taman Bunga Nusantara &amp; Alam Imajinasi

1. Tempat cuci tangan tersebar di areal Alam Imajinasi
2. Satgas selalu mengingatkan &amp; menjaga prokes
3. karyawan Alam Imajinasi telah di vaksin Covid-19 

Jaga prokes dgn menerapkan 3M

https://t.co/tAqZpUqBi5 https://t.co/ttNpqFIAoB",
"Dukung Pengembangan Vaksin Nusantara, HMI MPO Siapkan Relawan Ikuti Penyuntikan Sel Dendritik

https://t.co/SUu6RiiBVC",Percaya
"[UPDATE]
Udah agak lawas, tapi .... ya gitu deh
https://t.co/wpGFWt2UfP",
Banyak skali yg percaya vaksin nusantara ya Lord :'),
"@jokowi Siap, Pak Presiden! 🇮🇩💪 disiplin adalah vaksin. Semoga pandemi segera usai, semua bisa jalan2 menikmati indahnya Nusantara dg berbagai infrastruktur pendukung yg sdh rampung dibangun. Salam sehat Indonesiaku!",
"KETERSEDIAAN VAKSIN, JANGAN KHAWATIR,    ADA VAKSIN MERAH.PUTIH, VAKSIN GOTONG ROYONG, DAN VAKSIN NUSANTARA . https://t.co/hgRuclOWcn",
"Vaksin merah.putih, Vaksin gotong royong dan vaksin nusantara. 
#KekuranganStokVaksin https://t.co/nygA6cq5UK",
"Tim Peneliti Vaksin Nusantara Dipanggil Ganjar Pranowo, Bahas Apa? - https://t.co/nU0U6oVuqt - https://t.co/iyD7hfomGR https://t.co/CqoY66JJAm https://t.co/9TmsI2pimu",
Ini contoh ngarang bebas ala Kebebasan Pancasila. Akibat disuntik vaksin nusantara nih. https://t.co/tEKcIuKHLH,Tidak Percaya
@geloraco @lelakiabiez 2024 gunakan Vaksin Pribumi se Nusantara utk kekebalan &amp; kesehatan akal sehat dlm melawan wabah Virus Dungu,Tidak Percaya
@kompascom Smg vaksin nusantara benar2 ampuh dan efektif,
"Dedi menjelaskan, dari hasil konsultasi dengan Dokter Terawan, cairan yang disuntikan sebagai vaksin merupakan sel darah putih miliknya. https://t.co/A7pCiyt9xO",
"Campur Tangan DPR Dalam Riset Vaksin Nusantara Merusak Sistem Pengawasan Obat Dan Makanan
https://t.co/ojzN3CLG2o
#VaksinNusantara https://t.co/OPkoACFRpZ",
Vaksin Nusantara &amp; Merah Putih yg terbaeeek....e-nya tiga ya...💪💪💪 https://t.co/T1Nz4IOjJv,Percaya
"Wkt wor ttg apakah virus masuk dlm darah yg menyebabkan badai sitokin, aku udah jawab bbrp hal ttg itu.  Wkt itu aku menyangkut pautkan dg vaksin nusantara dan praktek imunoterapi  Monoclonal antibodi jg vaksin.
Jgn menjebakku. Cebong selalu menjebak agar org berhadapan dg hukum",
"Jd jangan mengira kalau kerumunan2 yg dibuat P' De terjadi secara insidental. Semua itu sudah dirancang dan diukur lokasi dan waktunya.
Vaksin pun dikendalikan. Upaya penciptaan dan penyebaran vaksin oleh pihak non rezim bkl dihalangi. Vaksin nusantara bgm kabarnya? Ada yg tahu?",
"Pas liat berita ini. Jujur saya kecewa kenapa sebuah LEMBAGA PENDIDIKAN TINGGI tidak mau memberikan jawaban yang bisa membuat semua pihak berpikir secara objektif demi kepentingan masyarakat banyak. Tidak bisa hanya membalas dengan Pernyataan rektor.  

https://t.co/Z5PwuiiFvT",
"@Miduk17 Bohong atau dibodohi soal ""vaksin Nusantara""?",Tidak Percaya
Campur tangan DPR dalam riset vaksin Nusantara merusak sistem pengawasan obat dan makanan https://t.co/jRnIOfM9EX,
@rendraTEUB @dewisuprobo Alhamdulillah mugo2 ndang kabeh. Aku winginane wis ga mikir vaksin ndi ae wis pokoke ojo vaksin nusantara 😂,
BIG BOSS UNIVERSAL: Vaksin Nusantara https://t.co/iR7ooQtgwy,
mending mana anti masker jadi duta masker atau eks mentri koruptor jadi duta vaksin nusantara,Tidak Percaya
Campur tangan DPR dalam riset vaksin Nusantara merusak sistem pengawasan obat dan makanan https://t.co/BKCUpI21bo via @ConversationIDN,
@fadjroeL @WHO @jokowi Kenapa tidak Fokus dengan Vaksin Nusantara saja Pak?,
