Tweet,Nilai
"Dengan dengan begini semoga proses vaksin berjalan lancar,  karena Vaksin Aman. Jangan lupa tetap patuhi protokol kesehatan. https://t.co/7IM3eFsBSU",Percaya
"@94afii Iya nih bnyk yg ragu,klo vaksin batalin puasa ngga..ternyata vaksin aman ya",Percaya
"Vaksin Nusantara Ditolak Negara 
https://t.co/SmZWr0pS97",Tidak Percaya
"Bahkan teman-teman dengan GERD, yang notabene memiliki anxiety atau kekhawatiran berlebihan karena sakit yang sedang dideritanya, tidak merasakan efek samping vaksin Covid-19 yang gawat karena jus dan smoothies yang sudah dipersiapkan bahkan sebelum vaksin.",Percaya
"@NarasiNewsroom Epidemolog, IDi, BPOM beda pendapat dg mantan Menkes dan DPR soal vaksin Nusantara. Trs rakyat disuruh mikir sendiri? Krn tdk tahu hrs percaya sm siapa...kasian rakyat+62",Tidak Percaya
"Bali Jadi Daerah Penyuntikan Vaksin Covid Tertinggi Yakni 80,03 Persen https://t.co/PYaU3RqCbG",Percaya
Hemmmm mau vaksin ke2 banyak dramaaa 😌,Tidak Percaya
"Semoga bisa terwujud.
Mau vaksin merah putih ataupun Nusantara semuanya dukung.
Percepat pengembangan vaksin dlm negeri agar negara kita bisa mandiri dan tdk tergantung terus pd vaksin impor.
Mari kerja sama dgn semua pihak, jgn jadikn kepentingan politik.
https://t.co/p8TM5A3b7k",Percaya
"Jadi Penghasil Terbesar, India Kini Upayakan Vaksin Impor di Tengah Lonjakan Kasus COVID-19 #Internasional https://t.co/yTv1yblXos https://t.co/jWCuYYVIBQ",Percaya
Vaksin pertama done. Selamat bergabung ditubuhq sinovac 😌,Percaya
"@Kemdikbud_RI Min boleh minta no telp klinik pratama kemdikbud, saya mau nanya soal vaksin kedua. Terima kasih",Tidak Percaya
"Sekalipun vaksin dibilang haram, vaksin aman diberikan jika dalam kondisi darurat. Seperti masa pandemi Corona ini. Di mana semua keadaan menjadi drastis tidak baik.",Percaya
"@KompasTV @pendekar58 Siapa juga yg bisa menjamin vaksin Sinovac, pfizer, astrazaneka, dll tidak menimbulkan masalah...",Tidak Percaya
LANJUTKAN PEMBERANTASAN PANDEMI: Pemerintah ttap melgsungkan pemberian vaksin kpd masy Jember. Khususnya yg brkecimpung di bid. pelay publik. Hal tsb sesuai dengan rekomendasi Kementerian Kesehatan sesuai dengan fatwa MUI terbaru terkait dengan vaksinasi https://t.co/GFmVsUtNlA,Percaya
"""Lagi puasa emang boleh ya vaksin?""

Selama ini orang-orang yang pergi umrah pas bulan Ramadhan/lebaran pasti kudu vaksin meningitis dulu pas lagi puasa tapi belum pernah denger ada yang protes atau mempertanyakan.",Percaya
"Punya Penyakit Jantung, Politius PDIP Adian Napitupulu Berharap pada Vaksin Nusantara https://t.co/mzPBcvfasd",Percaya
"@TirtoID Memang Terawan bagus kok,kalau ada politikus yg bersedia di uji coba vaksin nusantara bagus dong,itu bukti nya Terawan memang dokter yg pintar buktinya ada politikus yg yakin akan ke puawaian Terawan",Percaya
"Vaksin Nusantara Ternyata Bukan Karya Anak Bangsa, Ini Kata Pakar https://t.co/06Y4DqJOax",Tidak Percaya
