Tweet,Nilai,,Tidak Percaya,Percaya
"Dengan dengan begini semoga proses vaksin berjalan lancar,  karena Vaksin Aman. Jangan lupa tetap patuhi protokol kesehatan. https://t.co/7IM3eFsBSU",Percaya,,500,807
"@94afii Iya nih bnyk yg ragu,klo vaksin batalin puasa ngga..ternyata vaksin aman ya",Percaya,,,
"Bahkan teman-teman dengan GERD, yang notabene memiliki anxiety atau kekhawatiran berlebihan karena sakit yang sedang dideritanya, tidak merasakan efek samping vaksin Covid-19 yang gawat karena jus dan smoothies yang sudah dipersiapkan bahkan sebelum vaksin.",Percaya,,,
"Bali Jadi Daerah Penyuntikan Vaksin Covid Tertinggi Yakni 80,03 Persen https://t.co/PYaU3RqCbG",Percaya,,,
"Vaksin merah putih Saat ini sedang diteliti oleh 6 lembaga penelitian dan perguruan tinggi dan sedang di uji cobakan ke hewan besar dari AS.
Negara sdh kucurkan 400M itu unk pengembangan vaksin ini.
Yuk dukung semuanya.
https://t.co/v9B0A4Jx0E https://t.co/3mtdeWb6CY",Percaya,,,
"Semoga bisa terwujud.
Mau vaksin merah putih ataupun Nusantara semuanya dukung.
Percepat pengembangan vaksin dlm negeri agar negara kita bisa mandiri dan tdk tergantung terus pd vaksin impor.
Mari kerja sama dgn semua pihak, jgn jadikn kepentingan politik.
https://t.co/p8TM5A3b7k",Percaya,,,
"Jadi Penghasil Terbesar, India Kini Upayakan Vaksin Impor di Tengah Lonjakan Kasus COVID-19 #Internasional https://t.co/yTv1yblXos https://t.co/jWCuYYVIBQ",Percaya,,,
Vaksin pertama done. Selamat bergabung ditubuhq sinovac 😌,Percaya,,,
"Sekalipun vaksin dibilang haram, vaksin aman diberikan jika dalam kondisi darurat. Seperti masa pandemi Corona ini. Di mana semua keadaan menjadi drastis tidak baik.",Percaya,,,
LANJUTKAN PEMBERANTASAN PANDEMI: Pemerintah ttap melgsungkan pemberian vaksin kpd masy Jember. Khususnya yg brkecimpung di bid. pelay publik. Hal tsb sesuai dengan rekomendasi Kementerian Kesehatan sesuai dengan fatwa MUI terbaru terkait dengan vaksinasi https://t.co/GFmVsUtNlA,Percaya,,,
"""Lagi puasa emang boleh ya vaksin?""

Selama ini orang-orang yang pergi umrah pas bulan Ramadhan/lebaran pasti kudu vaksin meningitis dulu pas lagi puasa tapi belum pernah denger ada yang protes atau mempertanyakan.",Percaya,,,
"Punya Penyakit Jantung, Politius PDIP Adian Napitupulu Berharap pada Vaksin Nusantara https://t.co/mzPBcvfasd",Percaya,,,
"@TirtoID Memang Terawan bagus kok,kalau ada politikus yg bersedia di uji coba vaksin nusantara bagus dong,itu bukti nya Terawan memang dokter yg pintar buktinya ada politikus yg yakin akan ke puawaian Terawan",Percaya,,,
"Ical Hingga Gatot, Deretan Tokoh yang Disuntik Vaksin Terawan https://t.co/rz6tU8BYTG 

Mereka aja mau di Vaksin..kok IDI sama BPOM masih ngeyel ya?? aneh juga..Hmmmmm",Percaya,,,
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka   https://t.co/dNSnxvKt8S",Percaya,,,
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka     https://t.co/dNSnxvKt8S via @Indopolitika",Percaya,,,
@Viena_Wu Jangan takut di vaksin,Percaya,,,
Vaksinasi tidak membatalkan puasa malah justru fungsinya akan memperkuat imun karena puasa termasuk proses detoksifikasi. Umat Islam yg berpartisipasi dlm program vaksin aman ini sama aja membantu mewujudkan kekebalan kelompok (here immunity) tercegah dari Covid-19.,Percaya,,,
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan Vaksin Nusantara https://t.co/iW9aRX1C7M,Percaya,,,
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan Vaksin Nusantara https://t.co/NOFwzuFppo,Percaya,,,
"@TirtoID Untuk Vak Nus saya percaya Dr Terawan, karena vaksinnya tidak menggunakan virus yg diperlemah, injeksi vaksin dlm darah di luar tubuh jadi bisa pra analisis dan Terawan selalu  out of the box",Percaya,,,
"Untuk itulah Dinas kesehatan DKI Jakarta tetap melakukan vaksin, karena Vaksin Aman. https://t.co/uZETaLGh7S",Percaya,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan.

#PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/hNocH3h7xV",Percaya,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan. #PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/uAAokzFXWT",Percaya,,,
"@Harian_Jogja Ikuti prokes dan segera ikuti vaksin yaa, biar pesebaran berkurang #VaksinUntukIndonesia https://t.co/gl3840xWO9",Percaya,,,
Maju terus Vaksin Nusantara..! Biarkan anjing menggonggong sementara khafilah tetap berlalu..! https://t.co/LzhzUF95fD,Percaya,,,
