Tweet,Nilai,,Percaya,,Tidak Percaya
"Dengan dengan begini semoga proses vaksin berjalan lancar,  karena Vaksin Aman. Jangan lupa tetap patuhi protokol kesehatan. https://t.co/7IM3eFsBSU",Percaya,,185,,156
"@94afii Iya nih bnyk yg ragu,klo vaksin batalin puasa ngga..ternyata vaksin aman ya",Percaya,,,,
"Uji klinisnya memang kontroversial, label 'karya anak bangsa' juga dipertanyakan. Namun tampaknya vaksin nusantara memang jadi harapan para pengidap komorbid. https://t.co/t7UtGIdTD4",,,,,
"Vaksin Nusantara Ditolak Negara 
https://t.co/SmZWr0pS97",Tidak Percaya,,,,
"@ganjarpranowo Sudah ada vaksin malah langkah mundur 3 petak ?
Oktober lalu sy, istri dan 2 anak flight ke Manado di test PCR ndak ada masalah. Rapopo bayar wong mendesak mertua meninggal dunia.
Pergi pulang sehat walafiat.
Menparekraf yang buat larangan ini ?
Harusnya segera direshuffle",,,,,
Vaksin Merah Putih &gt; Vaksin Nusantara https://t.co/r6hSqvNcBm,,,,,
"Melihat pandangan orang-orang hebat mengenai vaksin ********* ni bikin mikir ""Gila w bego banget y, masih buanyak kurangnya""

Huft :""",,,,,
"Skuad bola sepak kebangsaan bimbingan Ketua Jurulatih Tan Cheng Hoe, boleh menarik nafas lega apabila sah akan menerima suntikan vaksin COVID-19 Isnin depan.

#vaksin #COVID19 

https://t.co/9ZheNx94Zn",,,,,
"Vaksin ke-2 telah dilaksanakan, laporan selesai.",,,,,
@leksa @drpriono1 @BPOM_RI Di vaksin nusantara juga banyak ahlinya mas. Hanya beda pandangan aja dg yg di IDI. Baru kalo yg bikin vaksin nusantara tukang sayur saya gak percaya.,,,,,
https://t.co/08ZIGRbntV Terawan,,,,,
"Bahkan teman-teman dengan GERD, yang notabene memiliki anxiety atau kekhawatiran berlebihan karena sakit yang sedang dideritanya, tidak merasakan efek samping vaksin Covid-19 yang gawat karena jus dan smoothies yang sudah dipersiapkan bahkan sebelum vaksin.",Percaya,,,,
@risw_okob https://t.co/byXRQCNM7Q,,,,,
"@NarasiNewsroom Epidemolog, IDi, BPOM beda pendapat dg mantan Menkes dan DPR soal vaksin Nusantara. Trs rakyat disuruh mikir sendiri? Krn tdk tahu hrs percaya sm siapa...kasian rakyat+62",Tidak Percaya,,,,
"Sayang banget semua yang komen gatau bagaimana ribetnya sebuah obat apalagi vaksin rata-rata bukan orang yang kompeten 😀

“kArYa AnAk BaNgSa” cuma namanya aja.",,,,,
"Bali Jadi Daerah Penyuntikan Vaksin Covid Tertinggi Yakni 80,03 Persen https://t.co/PYaU3RqCbG",Percaya,,,,
Mikirin vaksin sampe stress bah,Tidak Percaya,,,,
"kenapa tak positif pemikiran &amp; saling support ? ( kemajuan NKRI ).
karena apabila Vaksin Nusantara ( Terawan ) hasil akhirnya terbukti baik, maka yg sudah menentang dgn alasan apapun seharusnya malu &amp; mengundurkan diri shg terjadi reformasi birokrat.",,,,,
Haritu koba cukup. Sampai bolehlah bagi vaksin kek negaro mano tah. Ni tibo tibo koba tak cukup? https://t.co/VyvTYDpSNL,,,,,
"@matetampan Kalau di lingkunganku udah jarang yang pakai istilah imunisasi sih, rata-rata bilangnya ya “mau vaksin” aja gitu.",,,,,
Hemmmm mau vaksin ke2 banyak dramaaa 😌,Tidak Percaya,,,,
"Vaksin merah putih Saat ini sedang diteliti oleh 6 lembaga penelitian dan perguruan tinggi dan sedang di uji cobakan ke hewan besar dari AS.
Negara sdh kucurkan 400M itu unk pengembangan vaksin ini.
Yuk dukung semuanya.
https://t.co/v9B0A4Jx0E https://t.co/3mtdeWb6CY",Percaya,,,,
"Semoga bisa terwujud.
Mau vaksin merah putih ataupun Nusantara semuanya dukung.
Percepat pengembangan vaksin dlm negeri agar negara kita bisa mandiri dan tdk tergantung terus pd vaksin impor.
Mari kerja sama dgn semua pihak, jgn jadikn kepentingan politik.
https://t.co/p8TM5A3b7k",Percaya,,,,
"Setelah vaksin, asupan makanan berupa sayur dan buah diperbanyak. Lebih bagus lagi jika menyediakan jus dan smoothies.

Teman-teman pelaku FC mengaku jika efek samping vaksin Covid-19 sangat minimal bahkan hampir tidak terasa karena mereka menyiapkan diri dengan asupan sehat.",,,,,
"Jadi Penghasil Terbesar, India Kini Upayakan Vaksin Impor di Tengah Lonjakan Kasus COVID-19 #Internasional https://t.co/yTv1yblXos https://t.co/jWCuYYVIBQ",Percaya,,,,
Vaksin pertama done. Selamat bergabung ditubuhq sinovac 😌,Percaya,,,,
